Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,Athletics Men's 10 kilometres Walk,ANZ,Athletics,0,0,0,1,1
1912,Athletics Men's 10 kilometres Walk,BOH,Athletics,0,0,0,1,1
1912,Athletics Men's 10 kilometres Walk,CAN,Athletics,1,0,0,0,1
1912,Athletics Men's 10 kilometres Walk,CHI,Athletics,0,0,0,1,1
1912,Athletics Men's 10 kilometres Walk,DEN,Athletics,0,0,0,3,3
1912,Athletics Men's 10 kilometres Walk,GBR,Athletics,0,1,0,4,5
1912,Athletics Men's 10 kilometres Walk,HUN,Athletics,0,0,0,2,2
1912,Athletics Men's 10 kilometres Walk,ITA,Athletics,0,0,1,0,1
1912,Athletics Men's 10 kilometres Walk,RSA,Athletics,0,0,0,1,1
1912,Athletics Men's 10 kilometres Walk,RUS,Athletics,0,0,0,3,3
1912,Athletics Men's 10 kilometres Walk,USA,Athletics,0,0,0,4,4
1920,Athletics Men's 10 kilometres Walk,AUS,Athletics,0,0,0,1,1
1920,Athletics Men's 10 kilometres Walk,BEL,Athletics,0,0,0,4,4
1920,Athletics Men's 10 kilometres Walk,CAN,Athletics,0,0,0,1,1
1920,Athletics Men's 10 kilometres Walk,DEN,Athletics,0,0,0,2,2
1920,Athletics Men's 10 kilometres Walk,ESP,Athletics,0,0,0,1,1
1920,Athletics Men's 10 kilometres Walk,EST,Athletics,0,0,0,1,1
1920,Athletics Men's 10 kilometres Walk,FRA,Athletics,0,0,0,1,1
1920,Athletics Men's 10 kilometres Walk,GBR,Athletics,0,0,1,2,3
1920,Athletics Men's 10 kilometres Walk,ITA,Athletics,1,0,0,1,2
1920,Athletics Men's 10 kilometres Walk,RSA,Athletics,0,0,0,1,1
1920,Athletics Men's 10 kilometres Walk,SUI,Athletics,0,0,0,1,1
1920,Athletics Men's 10 kilometres Walk,TCH,Athletics,0,0,0,1,1
1920,Athletics Men's 10 kilometres Walk,USA,Athletics,0,1,0,3,4
1924,Athletics Men's 10 kilometres Walk,AUS,Athletics,0,0,0,1,1
1924,Athletics Men's 10 kilometres Walk,AUT,Athletics,0,0,0,1,1
1924,Athletics Men's 10 kilometres Walk,CAN,Athletics,0,0,0,2,2
1924,Athletics Men's 10 kilometres Walk,FRA,Athletics,0,0,0,2,2
1924,Athletics Men's 10 kilometres Walk,GBR,Athletics,0,1,0,2,3
1924,Athletics Men's 10 kilometres Walk,HUN,Athletics,0,0,0,1,1
1924,Athletics Men's 10 kilometres Walk,ITA,Athletics,1,0,0,3,4
1924,Athletics Men's 10 kilometres Walk,LAT,Athletics,0,0,0,3,3
1924,Athletics Men's 10 kilometres Walk,MEX,Athletics,0,0,0,1,1
1924,Athletics Men's 10 kilometres Walk,NED,Athletics,0,0,0,1,1
1924,Athletics Men's 10 kilometres Walk,RSA,Athletics,0,0,1,0,1
1924,Athletics Men's 10 kilometres Walk,SUI,Athletics,0,0,0,1,1
1924,Athletics Men's 10 kilometres Walk,TCH,Athletics,0,0,0,1,1
1924,Athletics Men's 10 kilometres Walk,USA,Athletics,0,0,0,2,2
1948,Athletics Men's 10 kilometres Walk,AUS,Athletics,0,0,0,1,1
1948,Athletics Men's 10 kilometres Walk,FRA,Athletics,0,0,0,3,3
1948,Athletics Men's 10 kilometres Walk,GBR,Athletics,0,0,0,3,3
1948,Athletics Men's 10 kilometres Walk,IND,Athletics,0,0,0,1,1
1948,Athletics Men's 10 kilometres Walk,ITA,Athletics,0,0,0,2,2
1948,Athletics Men's 10 kilometres Walk,NOR,Athletics,0,0,0,1,1
1948,Athletics Men's 10 kilometres Walk,RSA,Athletics,0,0,0,1,1
1948,Athletics Men's 10 kilometres Walk,SUI,Athletics,0,0,1,0,1
1948,Athletics Men's 10 kilometres Walk,SWE,Athletics,1,1,0,1,3
1948,Athletics Men's 10 kilometres Walk,USA,Athletics,0,0,0,3,3
1952,Athletics Men's 10 kilometres Walk,AUS,Athletics,0,0,0,1,1
1952,Athletics Men's 10 kilometres Walk,DEN,Athletics,0,0,0,1,1
1952,Athletics Men's 10 kilometres Walk,FRA,Athletics,0,0,0,2,2
1952,Athletics Men's 10 kilometres Walk,GBR,Athletics,0,0,0,3,3
1952,Athletics Men's 10 kilometres Walk,ITA,Athletics,0,0,0,2,2
1952,Athletics Men's 10 kilometres Walk,NOR,Athletics,0,0,0,2,2
1952,Athletics Men's 10 kilometres Walk,PAK,Athletics,0,0,0,1,1
1952,Athletics Men's 10 kilometres Walk,SUI,Athletics,0,1,0,1,2
1952,Athletics Men's 10 kilometres Walk,SWE,Athletics,1,0,0,2,3
1952,Athletics Men's 10 kilometres Walk,TCH,Athletics,0,0,0,1,1
1952,Athletics Men's 10 kilometres Walk,URS,Athletics,0,0,1,2,3
1952,Athletics Men's 10 kilometres Walk,USA,Athletics,0,0,0,2,2
