Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1920,"Athletics Men's 3,000 metres Steeplechase",FIN,Athletics,0,0,0,2,2
1920,"Athletics Men's 3,000 metres Steeplechase",FRA,Athletics,0,0,0,4,4
1920,"Athletics Men's 3,000 metres Steeplechase",GBR,Athletics,1,0,0,0,1
1920,"Athletics Men's 3,000 metres Steeplechase",ITA,Athletics,0,0,1,1,2
1920,"Athletics Men's 3,000 metres Steeplechase",SWE,Athletics,0,0,0,3,3
1920,"Athletics Men's 3,000 metres Steeplechase",USA,Athletics,0,1,0,3,4
1924,"Athletics Men's 3,000 metres Steeplechase",FIN,Athletics,1,1,0,2,4
1924,"Athletics Men's 3,000 metres Steeplechase",FRA,Athletics,0,0,1,3,4
1924,"Athletics Men's 3,000 metres Steeplechase",GBR,Athletics,0,0,0,3,3
1924,"Athletics Men's 3,000 metres Steeplechase",IRL,Athletics,0,0,0,1,1
1924,"Athletics Men's 3,000 metres Steeplechase",ITA,Athletics,0,0,0,2,2
1924,"Athletics Men's 3,000 metres Steeplechase",NED,Athletics,0,0,0,1,1
1924,"Athletics Men's 3,000 metres Steeplechase",POL,Athletics,0,0,0,1,1
1924,"Athletics Men's 3,000 metres Steeplechase",RSA,Athletics,0,0,0,1,1
1924,"Athletics Men's 3,000 metres Steeplechase",USA,Athletics,0,0,0,3,3
1928,"Athletics Men's 3,000 metres Steeplechase",BEL,Athletics,0,0,0,2,2
1928,"Athletics Men's 3,000 metres Steeplechase",CAN,Athletics,0,0,0,1,1
1928,"Athletics Men's 3,000 metres Steeplechase",FIN,Athletics,1,1,1,1,4
1928,"Athletics Men's 3,000 metres Steeplechase",FRA,Athletics,0,0,0,2,2
1928,"Athletics Men's 3,000 metres Steeplechase",GBR,Athletics,0,0,0,4,4
1928,"Athletics Men's 3,000 metres Steeplechase",IRL,Athletics,0,0,0,1,1
1928,"Athletics Men's 3,000 metres Steeplechase",ITA,Athletics,0,0,0,1,1
1928,"Athletics Men's 3,000 metres Steeplechase",POR,Athletics,0,0,0,1,1
1928,"Athletics Men's 3,000 metres Steeplechase",SWE,Athletics,0,0,0,2,2
1928,"Athletics Men's 3,000 metres Steeplechase",USA,Athletics,0,0,0,4,4
1932,"Athletics Men's 3,000 metres Steeplechase",ARG,Athletics,0,0,0,1,1
1932,"Athletics Men's 3,000 metres Steeplechase",CAN,Athletics,0,0,0,1,1
1932,"Athletics Men's 3,000 metres Steeplechase",FIN,Athletics,1,0,0,2,3
1932,"Athletics Men's 3,000 metres Steeplechase",FRA,Athletics,0,0,0,1,1
1932,"Athletics Men's 3,000 metres Steeplechase",GBR,Athletics,0,1,0,1,2
1932,"Athletics Men's 3,000 metres Steeplechase",IRL,Athletics,0,0,0,1,1
1932,"Athletics Men's 3,000 metres Steeplechase",ITA,Athletics,0,0,0,3,3
1932,"Athletics Men's 3,000 metres Steeplechase",USA,Athletics,0,0,1,2,3
1936,"Athletics Men's 3,000 metres Steeplechase",AUT,Athletics,0,0,0,1,1
1936,"Athletics Men's 3,000 metres Steeplechase",BEL,Athletics,0,0,0,1,1
1936,"Athletics Men's 3,000 metres Steeplechase",FIN,Athletics,1,1,0,1,3
1936,"Athletics Men's 3,000 metres Steeplechase",FRA,Athletics,0,0,0,3,3
1936,"Athletics Men's 3,000 metres Steeplechase",GBR,Athletics,0,0,0,2,2
1936,"Athletics Men's 3,000 metres Steeplechase",GER,Athletics,0,0,1,2,3
1936,"Athletics Men's 3,000 metres Steeplechase",HUN,Athletics,0,0,0,1,1
1936,"Athletics Men's 3,000 metres Steeplechase",ITA,Athletics,0,0,0,2,2
1936,"Athletics Men's 3,000 metres Steeplechase",JPN,Athletics,0,0,0,2,2
1936,"Athletics Men's 3,000 metres Steeplechase",LAT,Athletics,0,0,0,1,1
1936,"Athletics Men's 3,000 metres Steeplechase",SWE,Athletics,0,0,0,3,3
1936,"Athletics Men's 3,000 metres Steeplechase",TCH,Athletics,0,0,0,3,3
1936,"Athletics Men's 3,000 metres Steeplechase",USA,Athletics,0,0,0,3,3
