Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,Athletics Men's 4 x 100 metres Relay,AUT,Athletics,0,0,0,4,4
1912,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,4,4
1912,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,0,4,4
1912,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,4,0,0,0,4
1912,Athletics Men's 4 x 100 metres Relay,GER,Athletics,0,0,0,5,5
1912,Athletics Men's 4 x 100 metres Relay,HUN,Athletics,0,0,0,4,4
1912,Athletics Men's 4 x 100 metres Relay,SWE,Athletics,0,4,0,0,4
1912,Athletics Men's 4 x 100 metres Relay,USA,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,BEL,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,DEN,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,ESP,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,4,0,0,4
1920,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,LUX,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,NED,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,NOR,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,RSA,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,SUI,Athletics,0,0,0,4,4
1920,Athletics Men's 4 x 100 metres Relay,SWE,Athletics,0,0,4,0,4
1920,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1924,Athletics Men's 4 x 100 metres Relay,ARG,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,DEN,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,ESP,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,FIN,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,4,0,0,4
1924,Athletics Men's 4 x 100 metres Relay,GRE,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,HUN,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,NED,Athletics,0,0,4,0,4
1924,Athletics Men's 4 x 100 metres Relay,RSA,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,SUI,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,SWE,Athletics,0,0,0,4,4
1924,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1928,Athletics Men's 4 x 100 metres Relay,BEL,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,ESP,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,4,0,4
1928,Athletics Men's 4 x 100 metres Relay,GER,Athletics,0,4,0,0,4
1928,Athletics Men's 4 x 100 metres Relay,GRE,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,HUN,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,JPN,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,SUI,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,TUR,Athletics,0,0,0,4,4
1928,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1932,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,4,4
1932,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,0,4,4
1932,Athletics Men's 4 x 100 metres Relay,GER,Athletics,0,4,0,0,4
1932,Athletics Men's 4 x 100 metres Relay,GRE,Athletics,0,0,0,4,4
1932,Athletics Men's 4 x 100 metres Relay,IND,Athletics,0,0,0,4,4
1932,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,4,0,4
1932,Athletics Men's 4 x 100 metres Relay,JPN,Athletics,0,0,0,4,4
1932,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1936,Athletics Men's 4 x 100 metres Relay,ARG,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,CHN,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,FIN,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,GER,Athletics,0,0,4,0,4
1936,Athletics Men's 4 x 100 metres Relay,HUN,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,4,0,0,4
1936,Athletics Men's 4 x 100 metres Relay,JPN,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,NED,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,RSA,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,SUI,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,SWE,Athletics,0,0,0,4,4
1936,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1948,Athletics Men's 4 x 100 metres Relay,ARG,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,AUS,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,BEL,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,BER,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,BRA,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,4,0,0,4
1948,Athletics Men's 4 x 100 metres Relay,HUN,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,ISL,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,4,0,4
1948,Athletics Men's 4 x 100 metres Relay,NED,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,TUR,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,URU,Athletics,0,0,0,4,4
1948,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1952,Athletics Men's 4 x 100 metres Relay,ARG,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,AUS,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,CUB,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,EGY,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,FIN,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,GER,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,GHA,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,HUN,Athletics,0,0,4,0,4
1952,Athletics Men's 4 x 100 metres Relay,ISL,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,NGR,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,PAK,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,POL,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,POR,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,SUI,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,TCH,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,THA,Athletics,0,0,0,4,4
1952,Athletics Men's 4 x 100 metres Relay,URS,Athletics,0,4,0,0,4
1952,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1956,Athletics Men's 4 x 100 metres Relay,AUS,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,BRA,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,ETH,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,GER,Athletics,0,0,4,0,4
1956,Athletics Men's 4 x 100 metres Relay,HUN,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,JPN,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,LBR,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,NGR,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,PAK,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,POL,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,THA,Athletics,0,0,0,4,4
1956,Athletics Men's 4 x 100 metres Relay,URS,Athletics,0,4,0,0,4
1956,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1956,Athletics Men's 4 x 100 metres Relay,VEN,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,AFG,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,CAN,Athletics,0,0,0,5,5
1960,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,4,0,4
1960,Athletics Men's 4 x 100 metres Relay,GER,Athletics,4,0,0,0,4
1960,Athletics Men's 4 x 100 metres Relay,GRE,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,IRQ,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,JPN,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,NGR,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,PAK,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,PHI,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,POL,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,SUI,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,THA,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,UGA,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,URS,Athletics,0,4,0,0,4
1960,Athletics Men's 4 x 100 metres Relay,USA,Athletics,0,0,0,4,4
1960,Athletics Men's 4 x 100 metres Relay,VEN,Athletics,0,0,0,5,5
1964,Athletics Men's 4 x 100 metres Relay,AUS,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,4,0,4
1964,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,GER,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,GHA,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,HUN,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,IND,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,IRQ,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,JAM,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,JPN,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,MAS,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,NGR,Athletics,0,0,0,5,5
1964,Athletics Men's 4 x 100 metres Relay,PHI,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,POL,Athletics,0,4,0,0,4
1964,Athletics Men's 4 x 100 metres Relay,SEN,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,THA,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,UGA,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,URS,Athletics,0,0,0,4,4
1964,Athletics Men's 4 x 100 metres Relay,USA,Athletics,4,0,0,0,4
1964,Athletics Men's 4 x 100 metres Relay,VEN,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,BAH,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,CIV,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,CUB,Athletics,0,4,0,0,4
1968,Athletics Men's 4 x 100 metres Relay,DOM,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,FRA,Athletics,0,0,4,0,4
1968,Athletics Men's 4 x 100 metres Relay,FRG,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,GBR,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,GDR,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,GHA,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,ITA,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,JAM,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,JPN,Athletics,0,0,0,4,4
1968,Athletics Men's 4 x 100 metres Relay,MAS,Athletics,0,0,0,4,4
