Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,Athletics Men's 400 metres Hurdles,BOH,Athletics,0,0,0,1,1
1900,Athletics Men's 400 metres Hurdles,CAN,Athletics,0,0,1,0,1
1900,Athletics Men's 400 metres Hurdles,FRA,Athletics,0,1,0,0,1
1900,Athletics Men's 400 metres Hurdles,USA,Athletics,1,0,0,1,2
1904,Athletics Men's 400 metres Hurdles,USA,Athletics,1,1,1,1,4
1908,Athletics Men's 400 metres Hurdles,ANZ,Athletics,0,0,0,1,1
1908,Athletics Men's 400 metres Hurdles,FRA,Athletics,0,0,0,2,2
1908,Athletics Men's 400 metres Hurdles,GBR,Athletics,0,0,1,6,7
1908,Athletics Men's 400 metres Hurdles,HUN,Athletics,0,0,0,1,1
1908,Athletics Men's 400 metres Hurdles,NED,Athletics,0,0,0,1,1
1908,Athletics Men's 400 metres Hurdles,USA,Athletics,1,1,0,1,3
1920,Athletics Men's 400 metres Hurdles,AUS,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres Hurdles,BEL,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres Hurdles,FIN,Athletics,0,0,0,2,2
1920,Athletics Men's 400 metres Hurdles,FRA,Athletics,0,0,0,3,3
1920,Athletics Men's 400 metres Hurdles,GBR,Athletics,0,0,0,2,2
1920,Athletics Men's 400 metres Hurdles,RSA,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres Hurdles,SWE,Athletics,0,0,0,3,3
1920,Athletics Men's 400 metres Hurdles,TCH,Athletics,0,0,0,2,2
1920,Athletics Men's 400 metres Hurdles,USA,Athletics,1,1,1,1,4
1924,Athletics Men's 400 metres Hurdles,ARG,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres Hurdles,AUS,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres Hurdles,BEL,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres Hurdles,CAN,Athletics,0,0,0,2,2
1924,Athletics Men's 400 metres Hurdles,CHI,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres Hurdles,DEN,Athletics,0,0,0,2,2
1924,Athletics Men's 400 metres Hurdles,FIN,Athletics,0,1,0,1,2
1924,Athletics Men's 400 metres Hurdles,FRA,Athletics,0,0,0,4,4
1924,Athletics Men's 400 metres Hurdles,GBR,Athletics,0,0,0,2,2
1924,Athletics Men's 400 metres Hurdles,GRE,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres Hurdles,ITA,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres Hurdles,NED,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres Hurdles,USA,Athletics,1,0,1,2,4
1928,Athletics Men's 400 metres Hurdles,AUS,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres Hurdles,BEL,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres Hurdles,CAN,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres Hurdles,DEN,Athletics,0,0,0,2,2
1928,Athletics Men's 400 metres Hurdles,FIN,Athletics,0,0,0,2,2
1928,Athletics Men's 400 metres Hurdles,FRA,Athletics,0,0,0,4,4
1928,Athletics Men's 400 metres Hurdles,GBR,Athletics,1,0,0,3,4
1928,Athletics Men's 400 metres Hurdles,GRE,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres Hurdles,IND,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres Hurdles,ITA,Athletics,0,0,0,1,1
