Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1896,Athletics Men's 400 metres,FRA,Athletics,0,0,0,2,2
1896,Athletics Men's 400 metres,GBR,Athletics,0,0,1,0,1
1896,Athletics Men's 400 metres,GER,Athletics,0,0,0,2,2
1896,Athletics Men's 400 metres,USA,Athletics,1,1,0,0,2
1900,Athletics Men's 400 metres,DEN,Athletics,0,0,1,0,1
1900,Athletics Men's 400 metres,FRA,Athletics,0,0,0,2,2
1900,Athletics Men's 400 metres,HUN,Athletics,0,0,0,2,2
1900,Athletics Men's 400 metres,ITA,Athletics,0,0,0,1,1
1900,Athletics Men's 400 metres,NOR,Athletics,0,0,0,1,1
1900,Athletics Men's 400 metres,USA,Athletics,1,1,0,6,8
1904,Athletics Men's 400 metres,CAN,Athletics,0,0,0,1,1
1904,Athletics Men's 400 metres,GER,Athletics,0,0,0,1,1
1904,Athletics Men's 400 metres,USA,Athletics,1,1,1,7,10
1906,Athletics Men's 400 metres,AUS,Athletics,0,0,1,0,1
1906,Athletics Men's 400 metres,AUT,Athletics,0,0,0,1,1
1906,Athletics Men's 400 metres,DEN,Athletics,0,0,0,1,1
1906,Athletics Men's 400 metres,FRA,Athletics,0,0,0,2,2
1906,Athletics Men's 400 metres,GBR,Athletics,0,1,0,3,4
1906,Athletics Men's 400 metres,GER,Athletics,0,0,0,3,3
1906,Athletics Men's 400 metres,GRE,Athletics,0,0,0,4,4
1906,Athletics Men's 400 metres,USA,Athletics,1,0,0,8,9
1908,Athletics Men's 400 metres,BEL,Athletics,0,0,0,1,1
1908,Athletics Men's 400 metres,CAN,Athletics,0,0,0,2,2
1908,Athletics Men's 400 metres,FRA,Athletics,0,0,0,1,1
1908,Athletics Men's 400 metres,GBR,Athletics,1,0,0,10,11
1908,Athletics Men's 400 metres,GER,Athletics,0,0,0,1,1
1908,Athletics Men's 400 metres,HUN,Athletics,0,0,0,1,1
1908,Athletics Men's 400 metres,ITA,Athletics,0,0,0,3,3
1908,Athletics Men's 400 metres,NED,Athletics,0,0,0,5,5
1908,Athletics Men's 400 metres,NOR,Athletics,0,0,0,1,1
1908,Athletics Men's 400 metres,SWE,Athletics,0,0,0,2,2
1908,Athletics Men's 400 metres,USA,Athletics,0,0,0,9,9
1912,Athletics Men's 400 metres,ANZ,Athletics,0,0,0,1,1
1912,Athletics Men's 400 metres,AUT,Athletics,0,0,0,1,1
1912,Athletics Men's 400 metres,BOH,Athletics,0,0,0,1,1
1912,Athletics Men's 400 metres,CAN,Athletics,0,0,0,2,2
1912,Athletics Men's 400 metres,FRA,Athletics,0,0,0,5,5
1912,Athletics Men's 400 metres,GBR,Athletics,0,0,0,7,7
1912,Athletics Men's 400 metres,GER,Athletics,0,1,0,5,6
1912,Athletics Men's 400 metres,HUN,Athletics,0,0,0,4,4
1912,Athletics Men's 400 metres,ITA,Athletics,0,0,0,2,2
1912,Athletics Men's 400 metres,JPN,Athletics,0,0,0,1,1
1912,Athletics Men's 400 metres,NOR,Athletics,0,0,0,2,2
1912,Athletics Men's 400 metres,POR,Athletics,0,0,0,1,1
1912,Athletics Men's 400 metres,RSA,Athletics,0,0,0,1,1
1912,Athletics Men's 400 metres,RUS,Athletics,0,0,0,1,1
1912,Athletics Men's 400 metres,SWE,Athletics,0,0,0,5,5
1912,Athletics Men's 400 metres,USA,Athletics,1,0,1,7,9
1920,Athletics Men's 400 metres,BEL,Athletics,0,0,0,3,3
1920,Athletics Men's 400 metres,CAN,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres,EGY,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres,ESP,Athletics,0,0,0,2,2
1920,Athletics Men's 400 metres,EST,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres,FIN,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres,FRA,Athletics,0,0,0,4,4
1920,Athletics Men's 400 metres,GBR,Athletics,0,1,0,3,4
1920,Athletics Men's 400 metres,IND,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres,ITA,Athletics,0,0,0,3,3
1920,Athletics Men's 400 metres,LUX,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres,NOR,Athletics,0,0,0,1,1
1920,Athletics Men's 400 metres,RSA,Athletics,1,0,0,3,4
1920,Athletics Men's 400 metres,SWE,Athletics,0,0,1,3,4
1920,Athletics Men's 400 metres,TCH,Athletics,0,0,0,2,2
1920,Athletics Men's 400 metres,USA,Athletics,0,0,0,4,4
1924,Athletics Men's 400 metres,ARG,Athletics,0,0,0,4,4
1924,Athletics Men's 400 metres,AUS,Athletics,0,0,0,3,3
1924,Athletics Men's 400 metres,BEL,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,BRA,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,BUL,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,CAN,Athletics,0,0,0,4,4
1924,Athletics Men's 400 metres,DEN,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,EST,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,FIN,Athletics,0,0,0,2,2
1924,Athletics Men's 400 metres,FRA,Athletics,0,0,0,4,4
1924,Athletics Men's 400 metres,GBR,Athletics,1,0,1,2,4
1924,Athletics Men's 400 metres,HAI,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,HUN,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,IND,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,IRL,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,ITA,Athletics,0,0,0,3,3
1924,Athletics Men's 400 metres,JPN,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,LUX,Athletics,0,0,0,2,2
1924,Athletics Men's 400 metres,MEX,Athletics,0,0,0,4,4
1924,Athletics Men's 400 metres,NED,Athletics,0,0,0,4,4
1924,Athletics Men's 400 metres,NOR,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,POL,Athletics,0,0,0,2,2
1924,Athletics Men's 400 metres,RSA,Athletics,0,0,0,2,2
1924,Athletics Men's 400 metres,SUI,Athletics,0,0,0,2,2
1924,Athletics Men's 400 metres,SWE,Athletics,0,0,0,4,4
1924,Athletics Men's 400 metres,TCH,Athletics,0,0,0,1,1
1924,Athletics Men's 400 metres,USA,Athletics,0,1,0,3,4
1928,Athletics Men's 400 metres,AUS,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres,AUT,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres,BEL,Athletics,0,0,0,2,2
1928,Athletics Men's 400 metres,CAN,Athletics,0,1,0,3,4
1928,Athletics Men's 400 metres,CHI,Athletics,0,0,0,2,2
1928,Athletics Men's 400 metres,DEN,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres,ESP,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres,FRA,Athletics,0,0,0,4,4
1928,Athletics Men's 400 metres,GBR,Athletics,0,0,0,4,4
1928,Athletics Men's 400 metres,GER,Athletics,0,0,1,3,4
1928,Athletics Men's 400 metres,GRE,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres,HUN,Athletics,0,0,0,4,4
1928,Athletics Men's 400 metres,IND,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres,IRL,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres,LUX,Athletics,0,0,0,1,1
1928,Athletics Men's 400 metres,MEX,Athletics,0,0,0,4,4
1928,Athletics Men's 400 metres,NED,Athletics,0,0,0,4,4
1928,Athletics Men's 400 metres,POL,Athletics,0,0,0,4,4
1928,Athletics Men's 400 metres,TCH,Athletics,0,0,0,2,2
1928,Athletics Men's 400 metres,USA,Athletics,1,0,0,3,4
1932,Athletics Men's 400 metres,AUS,Athletics,0,0,0,1,1
1932,Athletics Men's 400 metres,AUT,Athletics,0,0,0,1,1
1932,Athletics Men's 400 metres,BRA,Athletics,0,0,0,1,1
1932,Athletics Men's 400 metres,CAN,Athletics,0,0,1,2,3
1932,Athletics Men's 400 metres,FIN,Athletics,0,0,0,1,1
1932,Athletics Men's 400 metres,GBR,Athletics,0,0,0,2,2
1932,Athletics Men's 400 metres,GER,Athletics,0,0,0,3,3
1932,Athletics Men's 400 metres,GRE,Athletics,0,0,0,1,1
1932,Athletics Men's 400 metres,JPN,Athletics,0,0,0,3,3
1932,Athletics Men's 400 metres,MEX,Athletics,0,0,0,3,3
1932,Athletics Men's 400 metres,NOR,Athletics,0,0,0,1,1
1932,Athletics Men's 400 metres,NZL,Athletics,0,0,0,1,1
1932,Athletics Men's 400 metres,RSA,Athletics,0,0,0,1,1
1932,Athletics Men's 400 metres,SWE,Athletics,0,0,0,2,2
1932,Athletics Men's 400 metres,USA,Athletics,1,1,0,1,3
1936,Athletics Men's 400 metres,ARG,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,AUT,Athletics,0,0,0,2,2
1936,Athletics Men's 400 metres,BEL,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,BRA,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,CAN,Athletics,0,0,0,3,3
1936,Athletics Men's 400 metres,CHI,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,CHN,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,DEN,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,EGY,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,FIN,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,FRA,Athletics,0,0,0,3,3
1936,Athletics Men's 400 metres,GBR,Athletics,0,1,0,2,3
1936,Athletics Men's 400 metres,GER,Athletics,0,0,0,3,3
1936,Athletics Men's 400 metres,HUN,Athletics,0,0,0,3,3
1936,Athletics Men's 400 metres,IND,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,ITA,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,JPN,Athletics,0,0,0,3,3
1936,Athletics Men's 400 metres,LUX,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,NOR,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,ROU,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,RSA,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,SUI,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,SWE,Athletics,0,0,0,3,3
1936,Athletics Men's 400 metres,TCH,Athletics,0,0,0,1,1
1936,Athletics Men's 400 metres,USA,Athletics,1,0,1,1,3
1948,Athletics Men's 400 metres,ARG,Athletics,0,0,0,2,2
1948,Athletics Men's 400 metres,AUS,Athletics,0,0,0,3,3
1948,Athletics Men's 400 metres,BEL,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,BER,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,BRA,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,CAN,Athletics,0,0,0,3,3
1948,Athletics Men's 400 metres,CHI,Athletics,0,0,0,2,2
1948,Athletics Men's 400 metres,CHN,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,COL,Athletics,0,0,0,2,2
1948,Athletics Men's 400 metres,CUB,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,FIN,Athletics,0,0,0,3,3
1948,Athletics Men's 400 metres,FRA,Athletics,0,0,0,3,3
1948,Athletics Men's 400 metres,GBR,Athletics,0,0,0,3,3
1948,Athletics Men's 400 metres,GRE,Athletics,0,0,0,3,3
1948,Athletics Men's 400 metres,HUN,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,IRL,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,IRQ,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,ISL,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,JAM,Athletics,1,1,0,1,3
1948,Athletics Men's 400 metres,MEX,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,NOR,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,RSA,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,SRI,Athletics,0,0,0,1,1
1948,Athletics Men's 400 metres,SUI,Athletics,0,0,0,3,3
1948,Athletics Men's 400 metres,SWE,Athletics,0,0,0,3,3
1948,Athletics Men's 400 metres,TUR,Athletics,0,0,0,2,2
1948,Athletics Men's 400 metres,USA,Athletics,0,0,1,2,3
1948,Athletics Men's 400 metres,YUG,Athletics,0,0,0,2,2
1952,Athletics Men's 400 metres,AUS,Athletics,0,0,0,2,2
1952,Athletics Men's 400 metres,AUT,Athletics,0,0,0,2,2
1952,Athletics Men's 400 metres,BEL,Athletics,0,0,0,3,3
1952,Athletics Men's 400 metres,BRA,Athletics,0,0,0,1,1
1952,Athletics Men's 400 metres,CAN,Athletics,0,0,0,3,3
1952,Athletics Men's 400 metres,CUB,Athletics,0,0,0,2,2
1952,Athletics Men's 400 metres,FIN,Athletics,0,0,0,3,3
1952,Athletics Men's 400 metres,FRA,Athletics,0,0,0,3,3
1952,Athletics Men's 400 metres,GBR,Athletics,0,0,0,3,3
1952,Athletics Men's 400 metres,GER,Athletics,0,0,0,2,2
1952,Athletics Men's 400 metres,GRE,Athletics,0,0,0,1,1
1952,Athletics Men's 400 metres,GUA,Athletics,0,0,0,1,1
1952,Athletics Men's 400 metres,HUN,Athletics,0,0,0,3,3
1952,Athletics Men's 400 metres,IND,Athletics,0,0,0,1,1
1952,Athletics Men's 400 metres,IRL,Athletics,0,0,0,1,1
