Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1906,Athletics Men's 5 mile,AUS,Athletics,0,0,0,1,1
1906,Athletics Men's 5 mile,AUT,Athletics,0,0,0,1,1
1906,Athletics Men's 5 mile,BOH,Athletics,0,0,0,1,1
1906,Athletics Men's 5 mile,EGY,Athletics,0,0,0,1,1
1906,Athletics Men's 5 mile,FRA,Athletics,0,0,0,2,2
1906,Athletics Men's 5 mile,GBR,Athletics,1,0,0,6,7
1906,Athletics Men's 5 mile,GER,Athletics,0,0,0,1,1
1906,Athletics Men's 5 mile,GRE,Athletics,0,0,0,6,6
1906,Athletics Men's 5 mile,ITA,Athletics,0,0,0,1,1
1906,Athletics Men's 5 mile,NOR,Athletics,0,0,0,1,1
1906,Athletics Men's 5 mile,SWE,Athletics,0,1,1,1,3
1906,Athletics Men's 5 mile,USA,Athletics,0,0,0,3,3
1908,Athletics Men's 5 mile,ANZ,Athletics,0,0,0,2,2
1908,Athletics Men's 5 mile,BOH,Athletics,0,0,0,1,1
1908,Athletics Men's 5 mile,CAN,Athletics,0,0,0,4,4
1908,Athletics Men's 5 mile,DEN,Athletics,0,0,0,2,2
1908,Athletics Men's 5 mile,FRA,Athletics,0,0,0,2,2
1908,Athletics Men's 5 mile,GBR,Athletics,1,1,0,5,7
1908,Athletics Men's 5 mile,GER,Athletics,0,0,0,1,1
1908,Athletics Men's 5 mile,GRE,Athletics,0,0,0,1,1
1908,Athletics Men's 5 mile,HUN,Athletics,0,0,0,1,1
1908,Athletics Men's 5 mile,ITA,Athletics,0,0,0,1,1
1908,Athletics Men's 5 mile,NED,Athletics,0,0,0,3,3
1908,Athletics Men's 5 mile,RSA,Athletics,0,0,0,1,1
1908,Athletics Men's 5 mile,SWE,Athletics,0,0,1,4,5
1908,Athletics Men's 5 mile,USA,Athletics,0,0,0,4,4
