Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,"Athletics Men's Cross-Country, Team",DEN,Athletics,0,0,0,7,7
1912,"Athletics Men's Cross-Country, Team",FIN,Athletics,0,8,0,0,8
1912,"Athletics Men's Cross-Country, Team",GBR,Athletics,0,0,5,0,5
1912,"Athletics Men's Cross-Country, Team",NOR,Athletics,0,0,0,4,4
1912,"Athletics Men's Cross-Country, Team",SWE,Athletics,12,0,0,0,12
1912,"Athletics Men's Cross-Country, Team",USA,Athletics,0,0,0,5,5
1920,"Athletics Men's Cross-Country, Team",BEL,Athletics,0,0,0,6,6
1920,"Athletics Men's Cross-Country, Team",DEN,Athletics,0,0,0,5,5
1920,"Athletics Men's Cross-Country, Team",FIN,Athletics,6,0,0,0,6
1920,"Athletics Men's Cross-Country, Team",FRA,Athletics,0,0,0,6,6
1920,"Athletics Men's Cross-Country, Team",GBR,Athletics,0,6,0,0,6
1920,"Athletics Men's Cross-Country, Team",SWE,Athletics,0,0,6,0,6
1920,"Athletics Men's Cross-Country, Team",USA,Athletics,0,0,0,6,6
1924,"Athletics Men's Cross-Country, Team",ESP,Athletics,0,0,0,5,5
1924,"Athletics Men's Cross-Country, Team",FIN,Athletics,6,0,0,0,6
1924,"Athletics Men's Cross-Country, Team",FRA,Athletics,0,0,6,0,6
1924,"Athletics Men's Cross-Country, Team",GBR,Athletics,0,0,0,5,5
1924,"Athletics Men's Cross-Country, Team",ITA,Athletics,0,0,0,2,2
1924,"Athletics Men's Cross-Country, Team",SWE,Athletics,0,0,0,4,4
1924,"Athletics Men's Cross-Country, Team",USA,Athletics,0,6,0,0,6
