Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1896,Athletics Men's Marathon,AUS,Athletics,0,0,0,1,1
1896,Athletics Men's Marathon,FRA,Athletics,0,0,0,1,1
1896,Athletics Men's Marathon,GRE,Athletics,1,1,0,11,13
1896,Athletics Men's Marathon,HUN,Athletics,0,0,1,0,1
1896,Athletics Men's Marathon,USA,Athletics,0,0,0,1,1
1900,Athletics Men's Marathon,CAN,Athletics,0,0,0,2,2
1900,Athletics Men's Marathon,FRA,Athletics,0,1,0,3,4
1900,Athletics Men's Marathon,GBR,Athletics,0,0,0,4,4
1900,Athletics Men's Marathon,LUX,Athletics,1,0,0,0,1
1900,Athletics Men's Marathon,SWE,Athletics,0,0,1,1,2
1900,Athletics Men's Marathon,USA,Athletics,0,0,0,1,1
1904,Athletics Men's Marathon,CUB,Athletics,0,0,0,1,1
1904,Athletics Men's Marathon,FRA,Athletics,0,1,0,0,1
1904,Athletics Men's Marathon,GRE,Athletics,0,0,0,9,9
1904,Athletics Men's Marathon,NFL,Athletics,0,0,0,1,1
1904,Athletics Men's Marathon,RSA,Athletics,0,0,0,3,3
1904,Athletics Men's Marathon,USA,Athletics,1,0,1,15,17
1906,Athletics Men's Marathon,AUS,Athletics,0,0,0,1,1
1906,Athletics Men's Marathon,AUT,Athletics,0,0,0,1,1
1906,Athletics Men's Marathon,BEL,Athletics,0,0,0,1,1
1906,Athletics Men's Marathon,BOH,Athletics,0,0,0,1,1
1906,Athletics Men's Marathon,CAN,Athletics,1,0,0,0,1
1906,Athletics Men's Marathon,CRT,Athletics,0,0,0,7,7
1906,Athletics Men's Marathon,DEN,Athletics,0,0,0,1,1
1906,Athletics Men's Marathon,EGY,Athletics,0,0,0,1,1
1906,Athletics Men's Marathon,FRA,Athletics,0,0,0,2,2
1906,Athletics Men's Marathon,GBR,Athletics,0,0,0,2,2
1906,Athletics Men's Marathon,GER,Athletics,0,0,0,2,2
1906,Athletics Men's Marathon,GRE,Athletics,0,0,0,24,24
1906,Athletics Men's Marathon,ITA,Athletics,0,0,0,1,1
1906,Athletics Men's Marathon,SUI,Athletics,0,0,0,1,1
1906,Athletics Men's Marathon,SWE,Athletics,0,1,0,2,3
1906,Athletics Men's Marathon,USA,Athletics,0,0,1,3,4
1908,Athletics Men's Marathon,ANZ,Athletics,0,0,0,3,3
1908,Athletics Men's Marathon,AUT,Athletics,0,0,0,1,1
1908,Athletics Men's Marathon,BEL,Athletics,0,0,0,1,1
1908,Athletics Men's Marathon,BOH,Athletics,0,0,0,1,1
1908,Athletics Men's Marathon,CAN,Athletics,0,0,0,12,12
1908,Athletics Men's Marathon,DEN,Athletics,0,0,0,2,2
1908,Athletics Men's Marathon,FIN,Athletics,0,0,0,1,1
1908,Athletics Men's Marathon,GBR,Athletics,0,0,0,11,11
1908,Athletics Men's Marathon,GER,Athletics,0,0,0,1,1
1908,Athletics Men's Marathon,GRE,Athletics,0,0,0,2,2
1908,Athletics Men's Marathon,ITA,Athletics,0,0,0,2,2
1908,Athletics Men's Marathon,NED,Athletics,0,0,0,4,4
1908,Athletics Men's Marathon,RSA,Athletics,0,1,0,1,2
1908,Athletics Men's Marathon,RUS,Athletics,0,0,0,1,1
1908,Athletics Men's Marathon,SWE,Athletics,0,0,0,4,4
1908,Athletics Men's Marathon,USA,Athletics,1,0,1,5,7
1912,Athletics Men's Marathon,ANZ,Athletics,0,0,0,1,1
1912,Athletics Men's Marathon,AUT,Athletics,0,0,0,3,3
1912,Athletics Men's Marathon,BOH,Athletics,0,0,0,3,3
1912,Athletics Men's Marathon,CAN,Athletics,0,0,0,4,4
1912,Athletics Men's Marathon,DEN,Athletics,0,0,0,2,2
1912,Athletics Men's Marathon,FIN,Athletics,0,0,0,2,2
1912,Athletics Men's Marathon,FRA,Athletics,0,0,0,2,2
1912,Athletics Men's Marathon,GBR,Athletics,0,0,0,8,8
1912,Athletics Men's Marathon,GRE,Athletics,0,0,0,1,1
1912,Athletics Men's Marathon,HUN,Athletics,0,0,0,2,2
1912,Athletics Men's Marathon,ITA,Athletics,0,0,0,2,2
1912,Athletics Men's Marathon,JPN,Athletics,0,0,0,1,1
1912,Athletics Men's Marathon,NOR,Athletics,0,0,0,3,3
1912,Athletics Men's Marathon,POR,Athletics,0,0,0,1,1
1912,Athletics Men's Marathon,RSA,Athletics,1,1,0,1,3
1912,Athletics Men's Marathon,RUS,Athletics,0,0,0,5,5
1912,Athletics Men's Marathon,SRB,Athletics,0,0,0,1,1
1912,Athletics Men's Marathon,SWE,Athletics,0,0,0,12,12
1912,Athletics Men's Marathon,USA,Athletics,0,0,1,11,12
1920,Athletics Men's Marathon,AUS,Athletics,0,0,0,1,1
1920,Athletics Men's Marathon,BEL,Athletics,0,0,0,4,4
1920,Athletics Men's Marathon,CAN,Athletics,0,0,0,4,4
1920,Athletics Men's Marathon,CHI,Athletics,0,0,0,1,1
1920,Athletics Men's Marathon,DEN,Athletics,0,0,0,3,3
1920,Athletics Men's Marathon,EST,Athletics,0,1,0,0,1
1920,Athletics Men's Marathon,FIN,Athletics,1,0,0,3,4
1920,Athletics Men's Marathon,FRA,Athletics,0,0,0,4,4
1920,Athletics Men's Marathon,GBR,Athletics,0,0,0,4,4
1920,Athletics Men's Marathon,GRE,Athletics,0,0,0,2,2
1920,Athletics Men's Marathon,IND,Athletics,0,0,0,2,2
1920,Athletics Men's Marathon,ITA,Athletics,0,0,1,2,3
1920,Athletics Men's Marathon,JPN,Athletics,0,0,0,4,4
1920,Athletics Men's Marathon,NED,Athletics,0,0,0,2,2
1920,Athletics Men's Marathon,RSA,Athletics,0,0,0,1,1
1920,Athletics Men's Marathon,SWE,Athletics,0,0,0,4,4
1920,Athletics Men's Marathon,USA,Athletics,0,0,0,4,4
1924,Athletics Men's Marathon,BEL,Athletics,0,0,0,5,5
1924,Athletics Men's Marathon,CAN,Athletics,0,0,0,2,2
1924,Athletics Men's Marathon,CHI,Athletics,0,0,0,1,1
1924,Athletics Men's Marathon,DEN,Athletics,0,0,0,1,1
1924,Athletics Men's Marathon,ECU,Athletics,0,0,0,1,1
1924,Athletics Men's Marathon,ESP,Athletics,0,0,0,1,1
1924,Athletics Men's Marathon,EST,Athletics,0,0,0,2,2
1924,Athletics Men's Marathon,FIN,Athletics,1,0,0,5,6
1924,Athletics Men's Marathon,FRA,Athletics,0,0,0,4,4
1924,Athletics Men's Marathon,GBR,Athletics,0,0,0,6,6
1924,Athletics Men's Marathon,GRE,Athletics,0,0,0,3,3
1924,Athletics Men's Marathon,HUN,Athletics,0,0,0,2,2
1924,Athletics Men's Marathon,IND,Athletics,0,0,0,1,1
1924,Athletics Men's Marathon,ITA,Athletics,0,1,0,5,6
1924,Athletics Men's Marathon,JPN,Athletics,0,0,0,3,3
1924,Athletics Men's Marathon,NED,Athletics,0,0,0,2,2
1924,Athletics Men's Marathon,RSA,Athletics,0,0,0,1,1
1924,Athletics Men's Marathon,SWE,Athletics,0,0,0,2,2
1924,Athletics Men's Marathon,TCH,Athletics,0,0,0,3,3
1924,Athletics Men's Marathon,USA,Athletics,0,0,1,5,6
1928,Athletics Men's Marathon,BEL,Athletics,0,0,0,4,4
1928,Athletics Men's Marathon,CAN,Athletics,0,0,0,5,5
1928,Athletics Men's Marathon,CHI,Athletics,0,1,0,0,1
1928,Athletics Men's Marathon,DEN,Athletics,0,0,0,3,3
1928,Athletics Men's Marathon,ESP,Athletics,0,0,0,1,1
1928,Athletics Men's Marathon,EST,Athletics,0,0,0,1,1
1928,Athletics Men's Marathon,FIN,Athletics,0,0,1,5,6
1928,Athletics Men's Marathon,FRA,Athletics,1,0,0,3,4
1928,Athletics Men's Marathon,GBR,Athletics,0,0,0,6,6
1928,Athletics Men's Marathon,GER,Athletics,0,0,0,6,6
1928,Athletics Men's Marathon,HUN,Athletics,0,0,0,1,1
1928,Athletics Men's Marathon,ITA,Athletics,0,0,0,4,4
1928,Athletics Men's Marathon,JPN,Athletics,0,0,0,3,3
1928,Athletics Men's Marathon,LAT,Athletics,0,0,0,2,2
1928,Athletics Men's Marathon,MEX,Athletics,0,0,0,2,2
1928,Athletics Men's Marathon,NED,Athletics,0,0,0,6,6
1928,Athletics Men's Marathon,NOR,Athletics,0,0,0,1,1
1928,Athletics Men's Marathon,ROU,Athletics,0,0,0,1,1
1928,Athletics Men's Marathon,RSA,Athletics,0,0,0,1,1
1928,Athletics Men's Marathon,SWE,Athletics,0,0,0,2,2
1928,Athletics Men's Marathon,TCH,Athletics,0,0,0,2,2
1928,Athletics Men's Marathon,USA,Athletics,0,0,0,6,6
1928,Athletics Men's Marathon,YUG,Athletics,0,0,0,1,1
1932,Athletics Men's Marathon,ARG,Athletics,1,0,0,2,3
1932,Athletics Men's Marathon,BRA,Athletics,0,0,0,2,2
1932,Athletics Men's Marathon,CAN,Athletics,0,0,0,3,3
1932,Athletics Men's Marathon,COL,Athletics,0,0,0,1,1
1932,Athletics Men's Marathon,DEN,Athletics,0,0,0,1,1
1932,Athletics Men's Marathon,FIN,Athletics,0,0,1,2,3
1932,Athletics Men's Marathon,FRA,Athletics,0,0,0,1,1
1932,Athletics Men's Marathon,GBR,Athletics,0,1,0,1,2
1932,Athletics Men's Marathon,GER,Athletics,0,0,0,1,1
1932,Athletics Men's Marathon,ITA,Athletics,0,0,0,2,2
1932,Athletics Men's Marathon,JPN,Athletics,0,0,0,3,3
1932,Athletics Men's Marathon,MEX,Athletics,0,0,0,2,2
1932,Athletics Men's Marathon,TCH,Athletics,0,0,0,1,1
1932,Athletics Men's Marathon,USA,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,ARG,Athletics,0,0,0,2,2
1936,Athletics Men's Marathon,AUT,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,BEL,Athletics,0,0,0,2,2
1936,Athletics Men's Marathon,BUL,Athletics,0,0,0,1,1
1936,Athletics Men's Marathon,CAN,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,CHI,Athletics,0,0,0,1,1
1936,Athletics Men's Marathon,CHN,Athletics,0,0,0,1,1
1936,Athletics Men's Marathon,DEN,Athletics,0,0,0,1,1
1936,Athletics Men's Marathon,FIN,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,FRA,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,GBR,Athletics,0,1,0,2,3
1936,Athletics Men's Marathon,GER,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,GRE,Athletics,0,0,0,1,1
1936,Athletics Men's Marathon,IND,Athletics,0,0,0,1,1
1936,Athletics Men's Marathon,ITA,Athletics,0,0,0,2,2
1936,Athletics Men's Marathon,JPN,Athletics,1,0,1,1,3
1936,Athletics Men's Marathon,LAT,Athletics,0,0,0,1,1
1936,Athletics Men's Marathon,PER,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,POL,Athletics,0,0,0,2,2
1936,Athletics Men's Marathon,POR,Athletics,0,0,0,2,2
1936,Athletics Men's Marathon,ROU,Athletics,0,0,0,1,1
1936,Athletics Men's Marathon,RSA,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,SUI,Athletics,0,0,0,2,2
1936,Athletics Men's Marathon,SWE,Athletics,0,0,0,2,2
1936,Athletics Men's Marathon,TCH,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,USA,Athletics,0,0,0,3,3
1936,Athletics Men's Marathon,YUG,Athletics,0,0,0,1,1
1948,Athletics Men's Marathon,ARG,Athletics,1,0,0,2,3
1948,Athletics Men's Marathon,BEL,Athletics,0,0,1,0,1
1948,Athletics Men's Marathon,CAN,Athletics,0,0,0,3,3
1948,Athletics Men's Marathon,CHI,Athletics,0,0,0,1,1
1948,Athletics Men's Marathon,CHN,Athletics,0,0,0,1,1
1948,Athletics Men's Marathon,DEN,Athletics,0,0,0,1,1
1948,Athletics Men's Marathon,FIN,Athletics,0,0,0,3,3
1948,Athletics Men's Marathon,FRA,Athletics,0,0,0,3,3
1948,Athletics Men's Marathon,GBR,Athletics,0,1,0,2,3
1948,Athletics Men's Marathon,GRE,Athletics,0,0,0,2,2
1948,Athletics Men's Marathon,HUN,Athletics,0,0,0,1,1
1948,Athletics Men's Marathon,IND,Athletics,0,0,0,1,1
1948,Athletics Men's Marathon,IRL,Athletics,0,0,0,1,1
1948,Athletics Men's Marathon,ITA,Athletics,0,0,0,1,1
1948,Athletics Men's Marathon,KOR,Athletics,0,0,0,3,3
1948,Athletics Men's Marathon,NOR,Athletics,0,0,0,1,1
