Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,Athletics Men's Pentathlon,AUT,Athletics,0,0,0,1,1
1912,Athletics Men's Pentathlon,CAN,Athletics,0,0,1,0,1
1912,Athletics Men's Pentathlon,FIN,Athletics,0,0,0,1,1
1912,Athletics Men's Pentathlon,FRA,Athletics,0,0,0,2,2
1912,Athletics Men's Pentathlon,GER,Athletics,0,0,0,3,3
1912,Athletics Men's Pentathlon,ITA,Athletics,0,0,0,1,1
1912,Athletics Men's Pentathlon,NOR,Athletics,1,0,0,0,1
1912,Athletics Men's Pentathlon,SUI,Athletics,0,0,0,1,1
1912,Athletics Men's Pentathlon,SWE,Athletics,0,0,0,9,9
1912,Athletics Men's Pentathlon,TUR,Athletics,0,0,0,1,1
1912,Athletics Men's Pentathlon,USA,Athletics,1,1,0,3,5
1920,Athletics Men's Pentathlon,EST,Athletics,0,0,0,1,1
1920,Athletics Men's Pentathlon,FIN,Athletics,1,0,1,2,4
1920,Athletics Men's Pentathlon,GRE,Athletics,0,0,0,2,2
1920,Athletics Men's Pentathlon,JPN,Athletics,0,0,0,1,1
1920,Athletics Men's Pentathlon,MON,Athletics,0,0,0,1,1
1920,Athletics Men's Pentathlon,NOR,Athletics,0,0,0,2,2
1920,Athletics Men's Pentathlon,SWE,Athletics,0,0,0,4,4
1920,Athletics Men's Pentathlon,USA,Athletics,0,1,0,3,4
1924,Athletics Men's Pentathlon,AUS,Athletics,0,0,0,1,1
1924,Athletics Men's Pentathlon,BEL,Athletics,0,0,0,2,2
1924,Athletics Men's Pentathlon,FIN,Athletics,1,0,0,3,4
1924,Athletics Men's Pentathlon,FRA,Athletics,0,0,0,2,2
1924,Athletics Men's Pentathlon,GBR,Athletics,0,0,0,2,2
1924,Athletics Men's Pentathlon,GRE,Athletics,0,0,0,2,2
1924,Athletics Men's Pentathlon,HUN,Athletics,0,1,0,0,1
1924,Athletics Men's Pentathlon,ITA,Athletics,0,0,0,2,2
1924,Athletics Men's Pentathlon,JPN,Athletics,0,0,0,1,1
1924,Athletics Men's Pentathlon,MON,Athletics,0,0,0,1,1
1924,Athletics Men's Pentathlon,NED,Athletics,0,0,0,1,1
1924,Athletics Men's Pentathlon,NOR,Athletics,0,0,0,1,1
1924,Athletics Men's Pentathlon,SUI,Athletics,0,0,0,1,1
1924,Athletics Men's Pentathlon,SWE,Athletics,0,0,0,3,3
1924,Athletics Men's Pentathlon,TCH,Athletics,0,0,0,1,1
1924,Athletics Men's Pentathlon,USA,Athletics,0,0,1,3,4
1924,Athletics Men's Pentathlon,YUG,Athletics,0,0,0,1,1
