Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,Athletics Men's Standing Long Jump,FRA,Athletics,0,0,1,0,1
1900,Athletics Men's Standing Long Jump,USA,Athletics,1,1,0,1,3
1904,Athletics Men's Standing Long Jump,USA,Athletics,1,1,1,1,4
1906,Athletics Men's Standing Long Jump,AUT,Athletics,0,0,0,2,2
1906,Athletics Men's Standing Long Jump,BEL,Athletics,0,0,0,1,1
1906,Athletics Men's Standing Long Jump,CRT,Athletics,0,0,0,1,1
1906,Athletics Men's Standing Long Jump,DEN,Athletics,0,0,0,2,2
1906,Athletics Men's Standing Long Jump,FIN,Athletics,0,0,0,1,1
1906,Athletics Men's Standing Long Jump,FRA,Athletics,0,0,0,3,3
1906,Athletics Men's Standing Long Jump,GER,Athletics,0,0,0,5,5
1906,Athletics Men's Standing Long Jump,GRE,Athletics,0,0,0,4,4
1906,Athletics Men's Standing Long Jump,HUN,Athletics,0,0,0,2,2
1906,Athletics Men's Standing Long Jump,ITA,Athletics,0,0,0,1,1
1906,Athletics Men's Standing Long Jump,SWE,Athletics,0,0,0,3,3
1906,Athletics Men's Standing Long Jump,USA,Athletics,1,1,1,2,5
1908,Athletics Men's Standing Long Jump,BEL,Athletics,0,0,0,1,1
1908,Athletics Men's Standing Long Jump,CAN,Athletics,0,0,0,1,1
1908,Athletics Men's Standing Long Jump,DEN,Athletics,0,0,0,1,1
1908,Athletics Men's Standing Long Jump,FIN,Athletics,0,0,0,1,1
1908,Athletics Men's Standing Long Jump,FRA,Athletics,0,0,0,2,2
1908,Athletics Men's Standing Long Jump,GBR,Athletics,0,0,0,6,6
1908,Athletics Men's Standing Long Jump,GER,Athletics,0,0,0,1,1
1908,Athletics Men's Standing Long Jump,GRE,Athletics,0,1,0,0,1
1908,Athletics Men's Standing Long Jump,NED,Athletics,0,0,0,3,3
1908,Athletics Men's Standing Long Jump,SWE,Athletics,0,0,0,1,1
1908,Athletics Men's Standing Long Jump,USA,Athletics,1,0,1,5,7
1912,Athletics Men's Standing Long Jump,CAN,Athletics,0,0,0,1,1
1912,Athletics Men's Standing Long Jump,FRA,Athletics,0,0,0,2,2
1912,Athletics Men's Standing Long Jump,GBR,Athletics,0,0,0,2,2
1912,Athletics Men's Standing Long Jump,GRE,Athletics,1,0,0,0,1
1912,Athletics Men's Standing Long Jump,HUN,Athletics,0,0,0,1,1
1912,Athletics Men's Standing Long Jump,NOR,Athletics,0,0,0,1,1
1912,Athletics Men's Standing Long Jump,SWE,Athletics,0,0,0,6,6
1912,Athletics Men's Standing Long Jump,USA,Athletics,0,1,1,3,5
