Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1972,"Athletics Women's 1,500 metres",AUS,Athletics,0,0,0,1,1
1972,"Athletics Women's 1,500 metres",BUL,Athletics,0,0,0,2,2
1972,"Athletics Women's 1,500 metres",CAN,Athletics,0,0,0,2,2
1972,"Athletics Women's 1,500 metres",FIN,Athletics,0,0,0,1,1
1972,"Athletics Women's 1,500 metres",FRG,Athletics,0,0,0,3,3
1972,"Athletics Women's 1,500 metres",GBR,Athletics,0,0,0,3,3
1972,"Athletics Women's 1,500 metres",GDR,Athletics,0,1,0,1,2
1972,"Athletics Women's 1,500 metres",HUN,Athletics,0,0,0,2,2
1972,"Athletics Women's 1,500 metres",IRL,Athletics,0,0,0,1,1
1972,"Athletics Women's 1,500 metres",ITA,Athletics,0,0,1,0,1
1972,"Athletics Women's 1,500 metres",KEN,Athletics,0,0,0,1,1
1972,"Athletics Women's 1,500 metres",MAW,Athletics,0,0,0,1,1
1972,"Athletics Women's 1,500 metres",NED,Athletics,0,0,0,2,2
1972,"Athletics Women's 1,500 metres",NOR,Athletics,0,0,0,2,2
1972,"Athletics Women's 1,500 metres",SUI,Athletics,0,0,0,2,2
1972,"Athletics Women's 1,500 metres",SWE,Athletics,0,0,0,2,2
1972,"Athletics Women's 1,500 metres",TCH,Athletics,0,0,0,1,1
1972,"Athletics Women's 1,500 metres",TPE,Athletics,0,0,0,1,1
1972,"Athletics Women's 1,500 metres",URS,Athletics,1,0,0,2,3
1972,"Athletics Women's 1,500 metres",USA,Athletics,0,0,0,2,2
1972,"Athletics Women's 1,500 metres",YUG,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",AUS,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",BEL,Athletics,0,0,0,2,2
1976,"Athletics Women's 1,500 metres",BUL,Athletics,0,0,0,3,3
1976,"Athletics Women's 1,500 metres",CAN,Athletics,0,0,0,2,2
1976,"Athletics Women's 1,500 metres",ESP,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",FIN,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",FRG,Athletics,0,0,0,2,2
1976,"Athletics Women's 1,500 metres",GBR,Athletics,0,0,0,2,2
1976,"Athletics Women's 1,500 metres",GDR,Athletics,0,1,1,1,3
1976,"Athletics Women's 1,500 metres",HUN,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",IRL,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",ISL,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",ITA,Athletics,0,0,0,3,3
1976,"Athletics Women's 1,500 metres",NOR,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",NZL,Athletics,0,0,0,2,2
1976,"Athletics Women's 1,500 metres",ROU,Athletics,0,0,0,3,3
1976,"Athletics Women's 1,500 metres",SEN,Athletics,0,0,0,1,1
1976,"Athletics Women's 1,500 metres",URS,Athletics,1,0,0,2,3
1976,"Athletics Women's 1,500 metres",USA,Athletics,0,0,0,3,3
1980,"Athletics Women's 1,500 metres",BUL,Athletics,0,0,0,3,3
1980,"Athletics Women's 1,500 metres",ETH,Athletics,0,0,0,1,1
1980,"Athletics Women's 1,500 metres",GBR,Athletics,0,0,0,1,1
1980,"Athletics Women's 1,500 metres",GDR,Athletics,0,1,0,2,3
1980,"Athletics Women's 1,500 metres",ITA,Athletics,0,0,0,2,2
1980,"Athletics Women's 1,500 metres",MAD,Athletics,0,0,0,1,1
1980,"Athletics Women's 1,500 metres",POL,Athletics,0,0,0,1,1
1980,"Athletics Women's 1,500 metres",ROU,Athletics,0,0,0,3,3
1980,"Athletics Women's 1,500 metres",SEY,Athletics,0,0,0,1,1
1980,"Athletics Women's 1,500 metres",SUI,Athletics,0,0,0,1,1
1980,"Athletics Women's 1,500 metres",TAN,Athletics,0,0,0,2,2
1980,"Athletics Women's 1,500 metres",URS,Athletics,1,0,1,1,3
1980,"Athletics Women's 1,500 metres",VIE,Athletics,0,0,0,1,1
1980,"Athletics Women's 1,500 metres",YUG,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",ANT,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",ARG,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",CAN,Athletics,0,0,0,2,2
1984,"Athletics Women's 1,500 metres",CHI,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",ESA,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",FRG,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",GBR,Athletics,0,0,0,3,3
1984,"Athletics Women's 1,500 metres",ITA,Athletics,1,0,0,0,1
1984,"Athletics Women's 1,500 metres",KEN,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",LIE,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",NED,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",ROU,Athletics,0,1,1,1,3
1984,"Athletics Women's 1,500 metres",RWA,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",SWE,Athletics,0,0,0,1,1
1984,"Athletics Women's 1,500 metres",USA,Athletics,0,0,0,3,3
1988,"Athletics Women's 1,500 metres",ALG,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",ANT,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",CAN,Athletics,0,0,0,3,3
1988,"Athletics Women's 1,500 metres",FRG,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",GBR,Athletics,0,0,0,3,3
1988,"Athletics Women's 1,500 metres",GDR,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",KEN,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",KOR,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",MAR,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",MYA,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",NED,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",PNG,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",ROU,Athletics,1,0,0,1,2
1988,"Athletics Women's 1,500 metres",RWA,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",SLE,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",SUI,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",SUR,Athletics,0,0,0,1,1
1988,"Athletics Women's 1,500 metres",URS,Athletics,0,1,1,1,3
1988,"Athletics Women's 1,500 metres",USA,Athletics,0,0,0,3,3
1992,"Athletics Women's 1,500 metres",ALG,Athletics,1,0,0,0,1
1992,"Athletics Women's 1,500 metres",ANG,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",AUT,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",CAF,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",CAN,Athletics,0,0,0,3,3
1992,"Athletics Women's 1,500 metres",CHA,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",CHN,Athletics,0,0,1,1,2
1992,"Athletics Women's 1,500 metres",ESP,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",ETH,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",EUN,Athletics,0,1,0,2,3
1992,"Athletics Women's 1,500 metres",FRA,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",GBR,Athletics,0,0,0,3,3
1992,"Athletics Women's 1,500 metres",GER,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",IRL,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",ITA,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",KEN,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",LES,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",MLT,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",MOZ,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",MYA,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",PNG,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",POL,Athletics,0,0,0,2,2
1992,"Athletics Women's 1,500 metres",POR,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",ROU,Athletics,0,0,0,3,3
1992,"Athletics Women's 1,500 metres",RWA,Athletics,0,0,0,1,1
1992,"Athletics Women's 1,500 metres",SRI,Athletics,0,0,0,1,1
