Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1972,Athletics Women's 100 metres Hurdles,AUS,Athletics,0,0,0,3,3
1972,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,0,1,1
1972,Athletics Women's 100 metres Hurdles,FRG,Athletics,0,0,0,2,2
1972,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,2,2
1972,Athletics Women's 100 metres Hurdles,GDR,Athletics,1,0,1,1,3
1972,Athletics Women's 100 metres Hurdles,IRL,Athletics,0,0,0,1,1
1972,Athletics Women's 100 metres Hurdles,ISR,Athletics,0,0,0,1,1
1972,Athletics Women's 100 metres Hurdles,NGR,Athletics,0,0,0,1,1
1972,Athletics Women's 100 metres Hurdles,NZL,Athletics,0,0,0,1,1
1972,Athletics Women's 100 metres Hurdles,PHI,Athletics,0,0,0,1,1
1972,Athletics Women's 100 metres Hurdles,POL,Athletics,0,0,0,3,3
1972,Athletics Women's 100 metres Hurdles,ROU,Athletics,0,1,0,0,1
1972,Athletics Women's 100 metres Hurdles,SUI,Athletics,0,0,0,1,1
1972,Athletics Women's 100 metres Hurdles,SWE,Athletics,0,0,0,1,1
1972,Athletics Women's 100 metres Hurdles,USA,Athletics,0,0,0,3,3
1976,Athletics Women's 100 metres Hurdles,AUS,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,BUL,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,CAN,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,2,2
1976,Athletics Women's 100 metres Hurdles,GDR,Athletics,1,0,0,2,3
1976,Athletics Women's 100 metres Hurdles,ISR,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,ITA,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,PER,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,POL,Athletics,0,0,0,2,2
1976,Athletics Women's 100 metres Hurdles,ROU,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,SEN,Athletics,0,0,0,1,1
1976,Athletics Women's 100 metres Hurdles,URS,Athletics,0,1,1,1,3
1976,Athletics Women's 100 metres Hurdles,USA,Athletics,0,0,0,3,3
1976,Athletics Women's 100 metres Hurdles,VEN,Athletics,0,0,0,1,1
1980,Athletics Women's 100 metres Hurdles,AUS,Athletics,0,0,0,1,1
1980,Athletics Women's 100 metres Hurdles,BUL,Athletics,0,0,0,2,2
1980,Athletics Women's 100 metres Hurdles,DOM,Athletics,0,0,0,1,1
1980,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,0,2,2
1980,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,2,2
1980,Athletics Women's 100 metres Hurdles,GDR,Athletics,0,1,0,2,3
1980,Athletics Women's 100 metres Hurdles,HUN,Athletics,0,0,0,1,1
1980,Athletics Women's 100 metres Hurdles,POL,Athletics,0,0,1,2,3
1980,Athletics Women's 100 metres Hurdles,SLE,Athletics,0,0,0,1,1
1980,Athletics Women's 100 metres Hurdles,SWE,Athletics,0,0,0,1,1
1980,Athletics Women's 100 metres Hurdles,URS,Athletics,1,0,0,2,3
1984,Athletics Women's 100 metres Hurdles,ARG,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,AUS,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,CAN,Athletics,0,0,0,3,3
1984,Athletics Women's 100 metres Hurdles,CHN,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,CMR,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,1,2,3
1984,Athletics Women's 100 metres Hurdles,FRG,Athletics,0,0,0,2,2
1984,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,1,0,1,2
1984,Athletics Women's 100 metres Hurdles,GRE,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,JAM,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,NGR,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,PNG,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,TUR,Athletics,0,0,0,1,1
1984,Athletics Women's 100 metres Hurdles,USA,Athletics,1,0,1,1,3
1988,Athletics Women's 100 metres Hurdles,AUS,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,BEL,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,BUL,Athletics,1,0,0,1,2
1988,Athletics Women's 100 metres Hurdles,CAN,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,CHN,Athletics,0,0,0,2,2
1988,Athletics Women's 100 metres Hurdles,ECU,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,FIJ,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,0,3,3
1988,Athletics Women's 100 metres Hurdles,FRG,Athletics,0,0,1,0,1
1988,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,3,3
1988,Athletics Women's 100 metres Hurdles,GDR,Athletics,0,1,0,2,3
1988,Athletics Women's 100 metres Hurdles,GHA,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,HKG,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,KOR,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,LIE,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,MEX,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,NED,Athletics,0,0,0,2,2
1988,Athletics Women's 100 metres Hurdles,NGR,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,PHI,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,SRI,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,SUI,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,TPE,Athletics,0,0,0,1,1
1988,Athletics Women's 100 metres Hurdles,URS,Athletics,0,0,0,2,2
1988,Athletics Women's 100 metres Hurdles,USA,Athletics,0,0,0,3,3
1992,Athletics Women's 100 metres Hurdles,BEL,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,BUL,Athletics,0,0,1,0,1
1992,Athletics Women's 100 metres Hurdles,CAN,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,CHN,Athletics,0,0,0,2,2
1992,Athletics Women's 100 metres Hurdles,CMR,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,CUB,Athletics,0,0,0,2,2
1992,Athletics Women's 100 metres Hurdles,ESP,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,EST,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,EUN,Athletics,0,0,0,3,3
1992,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,0,3,3
1992,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,3,3
1992,Athletics Women's 100 metres Hurdles,GER,Athletics,0,0,0,3,3
1992,Athletics Women's 100 metres Hurdles,GRE,Athletics,1,0,0,0,1
1992,Athletics Women's 100 metres Hurdles,HKG,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,IOA,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,JAM,Athletics,0,0,0,3,3
1992,Athletics Women's 100 metres Hurdles,MAD,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,ROU,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,SLE,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,SLO,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,SRI,Athletics,0,0,0,1,1
1992,Athletics Women's 100 metres Hurdles,USA,Athletics,0,1,0,2,3
1992,Athletics Women's 100 metres Hurdles,VIE,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,BLR,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,BUL,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,CAN,Athletics,0,0,0,3,3
1996,Athletics Women's 100 metres Hurdles,CUB,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,ESP,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,FIJ,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,1,2,3
1996,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,2,2
1996,Athletics Women's 100 metres Hurdles,GER,Athletics,0,0,0,2,2
1996,Athletics Women's 100 metres Hurdles,GHA,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,HKG,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,ITA,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,JAM,Athletics,0,0,0,3,3
1996,Athletics Women's 100 metres Hurdles,JPN,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,LUX,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,MAD,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,MLI,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,NGR,Athletics,0,0,0,3,3
1996,Athletics Women's 100 metres Hurdles,NOR,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,ROU,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,RUS,Athletics,0,0,0,3,3
1996,Athletics Women's 100 metres Hurdles,SLO,Athletics,0,1,0,0,1
1996,Athletics Women's 100 metres Hurdles,SRI,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,SUI,Athletics,0,0,0,1,1
1996,Athletics Women's 100 metres Hurdles,SWE,Athletics,1,0,0,0,1
1996,Athletics Women's 100 metres Hurdles,UKR,Athletics,0,0,0,3,3
1996,Athletics Women's 100 metres Hurdles,USA,Athletics,0,0,0,3,3
1996,Athletics Women's 100 metres Hurdles,VIE,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,ARG,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,AUS,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,BUL,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,CAF,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,CAN,Athletics,0,0,0,2,2
2000,Athletics Women's 100 metres Hurdles,CHN,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,CUB,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,FIN,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,0,3,3
2000,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,HAI,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,JAM,Athletics,0,0,0,3,3
2000,Athletics Women's 100 metres Hurdles,JPN,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,KAZ,Athletics,1,0,0,0,1
2000,Athletics Women's 100 metres Hurdles,LAT,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,LBR,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,MAD,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,NGR,Athletics,0,1,0,1,2
2000,Athletics Women's 100 metres Hurdles,RUS,Athletics,0,0,0,3,3
2000,Athletics Women's 100 metres Hurdles,SRI,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,STP,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,TGA,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,THA,Athletics,0,0,0,1,1
2000,Athletics Women's 100 metres Hurdles,UKR,Athletics,0,0,0,3,3
2000,Athletics Women's 100 metres Hurdles,USA,Athletics,0,0,1,2,3
2000,Athletics Women's 100 metres Hurdles,VIE,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,BRA,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,CAF,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,CAN,Athletics,0,0,0,3,3
2004,Athletics Women's 100 metres Hurdles,CHN,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,CUB,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,CZE,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,ESP,Athletics,0,0,0,2,2
2004,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,0,3,3
2004,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,GER,Athletics,0,0,0,3,3
2004,Athletics Women's 100 metres Hurdles,GRE,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,HAI,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,IRL,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,ISR,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,JAM,Athletics,0,0,0,3,3
2004,Athletics Women's 100 metres Hurdles,MAD,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,POL,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,RUS,Athletics,0,0,0,3,3
2004,Athletics Women's 100 metres Hurdles,SEY,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,SWE,Athletics,0,0,0,2,2
2004,Athletics Women's 100 metres Hurdles,THA,Athletics,0,0,0,1,1
2004,Athletics Women's 100 metres Hurdles,UKR,Athletics,0,1,0,0,1
2004,Athletics Women's 100 metres Hurdles,USA,Athletics,1,0,1,1,3
2008,Athletics Women's 100 metres Hurdles,AUS,Athletics,0,1,0,0,1
2008,Athletics Women's 100 metres Hurdles,BLR,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,BRA,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,CAN,Athletics,0,0,1,1,2
2008,Athletics Women's 100 metres Hurdles,CUB,Athletics,0,0,0,2,2
2008,Athletics Women's 100 metres Hurdles,CZE,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,ESP,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,FRA,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,GBR,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,GER,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,GRE,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,GUI,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,HAI,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,HON,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,HUN,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,INA,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,IRL,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,ITA,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,JAM,Athletics,0,0,0,3,3
2008,Athletics Women's 100 metres Hurdles,KAZ,Athletics,0,0,0,2,2
2008,Athletics Women's 100 metres Hurdles,NGR,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,NOR,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,POL,Athletics,0,0,0,1,1
2008,Athletics Women's 100 metres Hurdles,RUS,Athletics,0,0,0,3,3
2008,Athletics Women's 100 metres Hurdles,SVK,Athletics,0,0,0,1,1
