Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1964,Athletics Women's Pentathlon,AUS,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,AUT,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,CAN,Athletics,0,0,0,2,2
1964,Athletics Women's Pentathlon,DEN,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,FRA,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,GBR,Athletics,0,1,0,1,2
1964,Athletics Women's Pentathlon,GER,Athletics,0,0,0,2,2
1964,Athletics Women's Pentathlon,JPN,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,KOR,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,NED,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,NOR,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,TPE,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,URS,Athletics,1,0,1,1,3
1964,Athletics Women's Pentathlon,USA,Athletics,0,0,0,1,1
1964,Athletics Women's Pentathlon,YUG,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,AUT,Athletics,0,1,0,0,1
1968,Athletics Women's Pentathlon,BEL,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,BRA,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,BUL,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,CAN,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,CRC,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,DEN,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,FRA,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,FRG,Athletics,1,0,0,1,2
1968,Athletics Women's Pentathlon,GBR,Athletics,0,0,0,3,3
1968,Athletics Women's Pentathlon,GDR,Athletics,0,0,0,2,2
1968,Athletics Women's Pentathlon,HUN,Athletics,0,0,1,0,1
1968,Athletics Women's Pentathlon,ITA,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,MEX,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,NED,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,NOR,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,PHI,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,ROU,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,SUI,Athletics,0,0,0,2,2
1968,Athletics Women's Pentathlon,SWE,Athletics,0,0,0,1,1
1968,Athletics Women's Pentathlon,TPE,Athletics,0,0,0,2,2
1968,Athletics Women's Pentathlon,URS,Athletics,0,0,0,2,2
1968,Athletics Women's Pentathlon,USA,Athletics,0,0,0,2,2
1968,Athletics Women's Pentathlon,YUG,Athletics,0,0,0,2,2
1972,Athletics Women's Pentathlon,AUS,Athletics,0,0,0,1,1
1972,Athletics Women's Pentathlon,AUT,Athletics,0,0,0,1,1
1972,Athletics Women's Pentathlon,BUL,Athletics,0,0,0,1,1
1972,Athletics Women's Pentathlon,CAN,Athletics,0,0,0,2,2
1972,Athletics Women's Pentathlon,FRA,Athletics,0,0,0,2,2
1972,Athletics Women's Pentathlon,FRG,Athletics,0,1,0,2,3
1972,Athletics Women's Pentathlon,GBR,Athletics,1,0,0,1,2
1972,Athletics Women's Pentathlon,GDR,Athletics,0,0,1,2,3
