Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Athletics Women's Pole Vault,ARG,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,AUS,Athletics,0,1,0,1,2
2000,Athletics Women's Pole Vault,AUT,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,BUL,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,CHN,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,CZE,Athletics,0,0,0,2,2
2000,Athletics Women's Pole Vault,DEN,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,ESP,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,FRA,Athletics,0,0,0,2,2
2000,Athletics Women's Pole Vault,GBR,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,GER,Athletics,0,0,0,2,2
2000,Athletics Women's Pole Vault,GRE,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,HUN,Athletics,0,0,0,2,2
2000,Athletics Women's Pole Vault,ISL,Athletics,0,0,1,1,2
2000,Athletics Women's Pole Vault,POL,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,RSA,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,RUS,Athletics,0,0,0,3,3
2000,Athletics Women's Pole Vault,UKR,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,URU,Athletics,0,0,0,1,1
2000,Athletics Women's Pole Vault,USA,Athletics,1,0,0,2,3
2004,Athletics Women's Pole Vault,ARG,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,AUS,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,BUL,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,CAN,Athletics,0,0,0,2,2
2004,Athletics Women's Pole Vault,CHI,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,CHN,Athletics,0,0,0,2,2
2004,Athletics Women's Pole Vault,CYP,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,CZE,Athletics,0,0,0,2,2
2004,Athletics Women's Pole Vault,ESP,Athletics,0,0,0,2,2
2004,Athletics Women's Pole Vault,FRA,Athletics,0,0,0,2,2
2004,Athletics Women's Pole Vault,GER,Athletics,0,0,0,3,3
2004,Athletics Women's Pole Vault,GRE,Athletics,0,0,0,2,2
2004,Athletics Women's Pole Vault,HUN,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,ISL,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,JPN,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,NZL,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,POL,Athletics,0,0,1,1,2
2004,Athletics Women's Pole Vault,RUS,Athletics,1,1,0,1,3
2004,Athletics Women's Pole Vault,SLO,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,SUI,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,UKR,Athletics,0,0,0,1,1
2004,Athletics Women's Pole Vault,USA,Athletics,0,0,0,3,3
2008,Athletics Women's Pole Vault,ARG,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,AUS,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,BRA,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,CAN,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,CHN,Athletics,0,0,0,3,3
2008,Athletics Women's Pole Vault,CUB,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,CYP,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,CZE,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,ESP,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,FIN,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,FRA,Athletics,0,0,0,2,2
2008,Athletics Women's Pole Vault,GBR,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,GER,Athletics,0,0,0,3,3
2008,Athletics Women's Pole Vault,GRE,Athletics,0,0,0,2,2
2008,Athletics Women's Pole Vault,HUN,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,ISL,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,MAS,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,POL,Athletics,0,0,0,3,3
2008,Athletics Women's Pole Vault,POR,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,RUS,Athletics,1,0,1,1,3
2008,Athletics Women's Pole Vault,SUI,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,TUN,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,UKR,Athletics,0,0,0,1,1
2008,Athletics Women's Pole Vault,USA,Athletics,0,1,0,2,3
2012,Athletics Women's Pole Vault,AUS,Athletics,0,0,0,2,2
