Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1948,Athletics Women's Shot Put,ARG,Athletics,0,0,0,1,1
1948,Athletics Women's Shot Put,AUT,Athletics,0,0,1,2,3
1948,Athletics Women's Shot Put,BRA,Athletics,0,0,0,1,1
1948,Athletics Women's Shot Put,FRA,Athletics,1,0,0,2,3
1948,Athletics Women's Shot Put,GBR,Athletics,0,0,0,3,3
1948,Athletics Women's Shot Put,ITA,Athletics,0,1,0,0,1
1948,Athletics Women's Shot Put,NED,Athletics,0,0,0,1,1
1948,Athletics Women's Shot Put,NOR,Athletics,0,0,0,1,1
1948,Athletics Women's Shot Put,SWE,Athletics,0,0,0,1,1
1948,Athletics Women's Shot Put,TCH,Athletics,0,0,0,1,1
1948,Athletics Women's Shot Put,USA,Athletics,0,0,0,2,2
1948,Athletics Women's Shot Put,YUG,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,ARG,Athletics,0,0,0,2,2
1952,Athletics Women's Shot Put,FIN,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,FRA,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,GER,Athletics,0,1,0,2,3
1952,Athletics Women's Shot Put,KOR,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,NZL,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,POL,Athletics,0,0,0,2,2
1952,Athletics Women's Shot Put,SUI,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,SWE,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,TCH,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,URS,Athletics,1,0,1,1,3
1952,Athletics Women's Shot Put,USA,Athletics,0,0,0,1,1
1952,Athletics Women's Shot Put,YUG,Athletics,0,0,0,2,2
1956,Athletics Women's Shot Put,AUS,Athletics,0,0,0,3,3
1956,Athletics Women's Shot Put,AUT,Athletics,0,0,0,1,1
1956,Athletics Women's Shot Put,CAN,Athletics,0,0,0,1,1
1956,Athletics Women's Shot Put,GBR,Athletics,0,0,0,1,1
1956,Athletics Women's Shot Put,GER,Athletics,0,0,1,2,3
1956,Athletics Women's Shot Put,NZL,Athletics,0,0,0,1,1
1956,Athletics Women's Shot Put,URS,Athletics,1,1,0,1,3
1956,Athletics Women's Shot Put,USA,Athletics,0,0,0,3,3
1956,Athletics Women's Shot Put,YUG,Athletics,0,0,0,2,2
1960,Athletics Women's Shot Put,BUL,Athletics,0,0,0,2,2
1960,Athletics Women's Shot Put,GBR,Athletics,0,0,0,1,1
1960,Athletics Women's Shot Put,GER,Athletics,0,1,0,2,3
1960,Athletics Women's Shot Put,ISR,Athletics,0,0,0,1,1
1960,Athletics Women's Shot Put,JPN,Athletics,0,0,0,1,1
1960,Athletics Women's Shot Put,NZL,Athletics,0,0,0,1,1
1960,Athletics Women's Shot Put,POL,Athletics,0,0,0,2,2
1960,Athletics Women's Shot Put,TCH,Athletics,0,0,0,1,1
1960,Athletics Women's Shot Put,TPE,Athletics,0,0,0,1,1
1960,Athletics Women's Shot Put,URS,Athletics,1,0,0,2,3
1960,Athletics Women's Shot Put,USA,Athletics,0,0,1,0,1
1960,Athletics Women's Shot Put,YUG,Athletics,0,0,0,1,1
1964,Athletics Women's Shot Put,BUL,Athletics,0,0,0,1,1
1964,Athletics Women's Shot Put,CAN,Athletics,0,0,0,1,1
1964,Athletics Women's Shot Put,GBR,Athletics,0,0,0,1,1
1964,Athletics Women's Shot Put,GER,Athletics,0,1,0,2,3
1964,Athletics Women's Shot Put,HUN,Athletics,0,0,0,2,2
1964,Athletics Women's Shot Put,IRI,Athletics,0,0,0,1,1
1964,Athletics Women's Shot Put,JPN,Athletics,0,0,0,1,1
1964,Athletics Women's Shot Put,NZL,Athletics,0,0,0,1,1
1964,Athletics Women's Shot Put,ROU,Athletics,0,0,0,1,1
1964,Athletics Women's Shot Put,URS,Athletics,1,0,1,1,3
1964,Athletics Women's Shot Put,USA,Athletics,0,0,0,1,1
1968,Athletics Women's Shot Put,BUL,Athletics,0,0,0,1,1
1968,Athletics Women's Shot Put,CHI,Athletics,0,0,0,1,1
1968,Athletics Women's Shot Put,ESA,Athletics,0,0,0,1,1
1968,Athletics Women's Shot Put,FRG,Athletics,0,0,0,2,2
1968,Athletics Women's Shot Put,GDR,Athletics,1,1,0,1,3
1968,Athletics Women's Shot Put,HUN,Athletics,0,0,0,1,1
1968,Athletics Women's Shot Put,KOR,Athletics,0,0,0,1,1
1968,Athletics Women's Shot Put,NED,Athletics,0,0,0,1,1
1968,Athletics Women's Shot Put,URS,Athletics,0,0,1,1,2
1968,Athletics Women's Shot Put,USA,Athletics,0,0,0,1,1
1972,Athletics Women's Shot Put,BUL,Athletics,0,0,1,2,3
1972,Athletics Women's Shot Put,CHI,Athletics,0,0,0,1,1
1972,Athletics Women's Shot Put,GDR,Athletics,0,1,0,2,3
1972,Athletics Women's Shot Put,HUN,Athletics,0,0,0,1,1
