Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Marathon Race Walk Relay Mixed,AUS,Athletics,0,0,2,4,6
2024,Marathon Race Walk Relay Mixed,BRA,Athletics,0,0,0,4,4
2024,Marathon Race Walk Relay Mixed,CAN,Athletics,0,0,0,2,2
2024,Marathon Race Walk Relay Mixed,CHN,Athletics,0,0,0,6,6
2024,Marathon Race Walk Relay Mixed,COL,Athletics,0,0,0,4,4
2024,Marathon Race Walk Relay Mixed,CZE,Athletics,0,0,0,2,2
2024,Marathon Race Walk Relay Mixed,ECU,Athletics,0,2,0,2,4
2024,Marathon Race Walk Relay Mixed,ESP,Athletics,2,0,0,5,7
2024,Marathon Race Walk Relay Mixed,FRA,Athletics,0,0,0,2,2
2024,Marathon Race Walk Relay Mixed,GER,Athletics,0,0,0,4,4
2024,Marathon Race Walk Relay Mixed,HUN,Athletics,0,0,0,2,2
2024,Marathon Race Walk Relay Mixed,IND,Athletics,0,0,0,2,2
2024,Marathon Race Walk Relay Mixed,ITA,Athletics,0,0,0,4,4
2024,Marathon Race Walk Relay Mixed,JPN,Athletics,0,0,0,4,4
2024,Marathon Race Walk Relay Mixed,MEX,Athletics,0,0,0,2,2
2024,Marathon Race Walk Relay Mixed,PER,Athletics,0,0,0,4,4
2024,Marathon Race Walk Relay Mixed,POL,Athletics,0,0,0,4,4
2024,Marathon Race Walk Relay Mixed,SVK,Athletics,0,0,0,4,4
2024,Marathon Race Walk Relay Mixed,TUR,Athletics,0,0,0,2,2
2024,Marathon Race Walk Relay Mixed,UKR,Athletics,0,0,0,4,4
