Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,"Men's 10,000m",AUS,Athletics,0,0,0,1,1
2020,"Men's 10,000m",BEL,Athletics,0,0,0,1,1
2020,"Men's 10,000m",CAN,Athletics,0,0,0,1,1
2020,"Men's 10,000m",ERI,Athletics,0,0,0,1,1
2020,"Men's 10,000m",ESP,Athletics,0,0,0,1,1
2020,"Men's 10,000m",ETH,Athletics,1,0,0,2,3
2020,"Men's 10,000m",FRA,Athletics,0,0,0,1,1
2020,"Men's 10,000m",GBR,Athletics,0,0,0,2,2
2020,"Men's 10,000m",ITA,Athletics,0,0,0,1,1
2020,"Men's 10,000m",JPN,Athletics,0,0,0,2,2
2020,"Men's 10,000m",KEN,Athletics,0,0,0,3,3
2020,"Men's 10,000m",SUI,Athletics,0,0,0,1,1
2020,"Men's 10,000m",THA,Athletics,0,0,0,1,1
2020,"Men's 10,000m",UGA,Athletics,0,1,1,1,3
2020,"Men's 10,000m",USA,Athletics,0,0,0,3,3
2024,"Men's 10,000m",BDI,Athletics,0,0,0,2,2
2024,"Men's 10,000m",BEL,Athletics,0,0,0,1,1
2024,"Men's 10,000m",BRN,Athletics,0,0,0,1,1
2024,"Men's 10,000m",CAN,Athletics,0,0,0,1,1
2024,"Men's 10,000m",EOR,Athletics,0,0,0,1,1
2024,"Men's 10,000m",ERI,Athletics,0,0,0,1,1
2024,"Men's 10,000m",ESP,Athletics,0,0,0,2,2
2024,"Men's 10,000m",ETH,Athletics,0,1,0,2,3
2024,"Men's 10,000m",FRA,Athletics,0,0,0,2,2
2024,"Men's 10,000m",JPN,Athletics,0,0,0,2,2
2024,"Men's 10,000m",KEN,Athletics,0,0,0,3,3
2024,"Men's 10,000m",RSA,Athletics,0,0,0,1,1
2024,"Men's 10,000m",RWA,Athletics,0,0,0,1,1
2024,"Men's 10,000m",UGA,Athletics,1,0,0,2,3
2024,"Men's 10,000m",USA,Athletics,0,0,1,2,3
