Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's 1500m,AUS,Athletics,0,0,0,3,3
2020,Men's 1500m,BEL,Athletics,0,0,0,1,1
2020,Men's 1500m,BRA,Athletics,0,0,0,1,1
2020,Men's 1500m,BRN,Athletics,0,0,0,1,1
2020,Men's 1500m,DJI,Athletics,0,0,0,1,1
2020,Men's 1500m,EOR,Athletics,0,0,0,1,1
2020,Men's 1500m,ESP,Athletics,0,0,0,3,3
2020,Men's 1500m,ETH,Athletics,0,0,0,4,4
2020,Men's 1500m,FRA,Athletics,0,0,0,3,3
2020,Men's 1500m,GBR,Athletics,0,0,1,2,3
2020,Men's 1500m,GEQ,Athletics,0,0,0,1,1
2020,Men's 1500m,GER,Athletics,0,0,0,2,2
2020,Men's 1500m,HUN,Athletics,0,0,0,1,1
2020,Men's 1500m,IRL,Athletics,0,0,0,1,1
2020,Men's 1500m,KEN,Athletics,0,1,0,2,3
2020,Men's 1500m,LUX,Athletics,0,0,0,1,1
2020,Men's 1500m,MAR,Athletics,0,0,0,3,3
2020,Men's 1500m,NOR,Athletics,1,0,0,1,2
2020,Men's 1500m,NZL,Athletics,0,0,0,2,2
2020,Men's 1500m,POL,Athletics,0,0,0,2,2
2020,Men's 1500m,QAT,Athletics,0,0,0,2,2
2020,Men's 1500m,SOM,Athletics,0,0,0,1,1
2020,Men's 1500m,SSD,Athletics,0,0,0,1,1
2020,Men's 1500m,SWE,Athletics,0,0,0,1,1
2020,Men's 1500m,TLS,Athletics,0,0,0,1,1
2020,Men's 1500m,UGA,Athletics,0,0,0,1,1
2020,Men's 1500m,USA,Athletics,0,0,0,3,3
2024,Men's 1500m,AUS,Athletics,0,0,0,3,3
2024,Men's 1500m,AUT,Athletics,0,0,0,1,1
2024,Men's 1500m,BEL,Athletics,0,0,0,2,2
2024,Men's 1500m,CAN,Athletics,0,0,0,2,2
2024,Men's 1500m,ESP,Athletics,0,0,0,3,3
2024,Men's 1500m,ETH,Athletics,0,0,0,3,3
2024,Men's 1500m,FRA,Athletics,0,0,0,2,2
2024,Men's 1500m,GBR,Athletics,0,1,0,2,3
2024,Men's 1500m,GER,Athletics,0,0,0,2,2
2024,Men's 1500m,IRL,Athletics,0,0,0,3,3
2024,Men's 1500m,ITA,Athletics,0,0,0,3,3
2024,Men's 1500m,KEN,Athletics,0,0,0,3,3
2024,Men's 1500m,MAR,Athletics,0,0,0,1,1
2024,Men's 1500m,NED,Athletics,0,0,0,2,2
2024,Men's 1500m,NOR,Athletics,0,0,0,2,2
2024,Men's 1500m,NZL,Athletics,0,0,0,1,1
2024,Men's 1500m,POL,Athletics,0,0,0,2,2
2024,Men's 1500m,POR,Athletics,0,0,0,1,1
2024,Men's 1500m,RSA,Athletics,0,0,0,2,2
2024,Men's 1500m,SWE,Athletics,0,0,0,1,1
2024,Men's 1500m,USA,Athletics,1,0,1,1,3
