Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's 4 x 100m Relay Team,BRA,Athletics,0,0,0,5,5
2020,Men's 4 x 100m Relay Team,CAN,Athletics,0,0,7,0,7
2020,Men's 4 x 100m Relay Team,CHN,Athletics,0,0,0,5,5
2020,Men's 4 x 100m Relay Team,DEN,Athletics,0,0,0,5,5
2020,Men's 4 x 100m Relay Team,FRA,Athletics,0,0,0,5,5
2020,Men's 4 x 100m Relay Team,GBR,Athletics,0,6,0,0,6
2020,Men's 4 x 100m Relay Team,GER,Athletics,0,0,0,6,6
2020,Men's 4 x 100m Relay Team,GHA,Athletics,0,0,0,6,6
2020,Men's 4 x 100m Relay Team,ITA,Athletics,6,0,0,0,6
2020,Men's 4 x 100m Relay Team,JAM,Athletics,0,0,0,6,6
2020,Men's 4 x 100m Relay Team,JPN,Athletics,0,0,0,5,5
2020,Men's 4 x 100m Relay Team,NED,Athletics,0,0,0,6,6
2020,Men's 4 x 100m Relay Team,RSA,Athletics,0,0,0,6,6
2020,Men's 4 x 100m Relay Team,TTO,Athletics,0,0,0,5,5
2020,Men's 4 x 100m Relay Team,TUR,Athletics,0,0,0,5,5
2020,Men's 4 x 100m Relay Team,USA,Athletics,0,0,0,5,5
