Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Marathon,ARG,Athletics,0,0,0,2,2
2020,Men's Marathon,AUS,Athletics,0,0,0,3,3
2020,Men's Marathon,AUT,Athletics,0,0,0,2,2
2020,Men's Marathon,BDI,Athletics,0,0,0,1,1
2020,Men's Marathon,BEL,Athletics,0,0,1,2,3
2020,Men's Marathon,BRA,Athletics,0,0,0,3,3
2020,Men's Marathon,BRN,Athletics,0,0,0,3,3
2020,Men's Marathon,CAN,Athletics,0,0,0,3,3
2020,Men's Marathon,CHN,Athletics,0,0,0,3,3
2020,Men's Marathon,COL,Athletics,0,0,0,2,2
2020,Men's Marathon,DEN,Athletics,0,0,0,2,2
2020,Men's Marathon,EOR,Athletics,0,0,0,1,1
2020,Men's Marathon,ERI,Athletics,0,0,0,3,3
2020,Men's Marathon,ESP,Athletics,0,0,0,3,3
2020,Men's Marathon,EST,Athletics,0,0,0,2,2
2020,Men's Marathon,ETH,Athletics,0,0,0,3,3
2020,Men's Marathon,FRA,Athletics,0,0,0,3,3
2020,Men's Marathon,GBR,Athletics,0,0,0,3,3
2020,Men's Marathon,GER,Athletics,0,0,0,3,3
2020,Men's Marathon,HON,Athletics,0,0,0,1,1
2020,Men's Marathon,IRL,Athletics,0,0,0,3,3
2020,Men's Marathon,ISR,Athletics,0,0,0,3,3
2020,Men's Marathon,ITA,Athletics,0,0,0,3,3
2020,Men's Marathon,JPN,Athletics,0,0,0,3,3
2020,Men's Marathon,KEN,Athletics,1,0,0,2,3
2020,Men's Marathon,KOR,Athletics,0,0,0,2,2
2020,Men's Marathon,LES,Athletics,0,0,0,1,1
2020,Men's Marathon,MAR,Athletics,0,0,0,3,3
2020,Men's Marathon,MEX,Athletics,0,0,0,3,3
2020,Men's Marathon,MGL,Athletics,0,0,0,2,2
2020,Men's Marathon,NAM,Athletics,0,0,0,1,1
2020,Men's Marathon,NED,Athletics,0,1,0,2,3
2020,Men's Marathon,NOR,Athletics,0,0,0,1,1
2020,Men's Marathon,NZL,Athletics,0,0,0,2,2
2020,Men's Marathon,PAN,Athletics,0,0,0,1,1
2020,Men's Marathon,PAR,Athletics,0,0,0,1,1
2020,Men's Marathon,PER,Athletics,0,0,0,1,1
2020,Men's Marathon,POL,Athletics,0,0,0,3,3
2020,Men's Marathon,RSA,Athletics,0,0,0,3,3
2020,Men's Marathon,RWA,Athletics,0,0,0,1,1
2020,Men's Marathon,SUI,Athletics,0,0,0,1,1
2020,Men's Marathon,TAN,Athletics,0,0,0,2,2
2020,Men's Marathon,TUR,Athletics,0,0,0,2,2
2020,Men's Marathon,UGA,Athletics,0,0,0,3,3
2020,Men's Marathon,UKR,Athletics,0,0,0,3,3
2020,Men's Marathon,USA,Athletics,0,0,0,3,3
2024,Men's Marathon,AUS,Athletics,0,0,0,3,3
2024,Men's Marathon,BEL,Athletics,0,1,0,2,3
2024,Men's Marathon,BOL,Athletics,0,0,0,1,1
2024,Men's Marathon,CAN,Athletics,0,0,0,2,2
2024,Men's Marathon,CHA,Athletics,0,0,0,1,1
2024,Men's Marathon,CHI,Athletics,0,0,0,2,2
2024,Men's Marathon,CHN,Athletics,0,0,0,3,3
2024,Men's Marathon,CPV,Athletics,0,0,0,1,1
2024,Men's Marathon,DJI,Athletics,0,0,0,1,1
2024,Men's Marathon,EOR,Athletics,0,0,0,1,1
2024,Men's Marathon,ERI,Athletics,0,0,0,3,3
2024,Men's Marathon,ESP,Athletics,0,0,0,3,3
2024,Men's Marathon,ETH,Athletics,1,0,0,2,3
2024,Men's Marathon,FRA,Athletics,0,0,0,3,3
2024,Men's Marathon,GBR,Athletics,0,0,0,3,3
2024,Men's Marathon,GER,Athletics,0,0,0,3,3
2024,Men's Marathon,GUA,Athletics,0,0,0,1,1
2024,Men's Marathon,ISR,Athletics,0,0,0,4,4
2024,Men's Marathon,ISV,Athletics,0,0,0,1,1
2024,Men's Marathon,ITA,Athletics,0,0,0,3,3
2024,Men's Marathon,JOR,Athletics,0,0,0,1,1
2024,Men's Marathon,JPN,Athletics,0,0,0,3,3
2024,Men's Marathon,KEN,Athletics,0,0,1,2,3
2024,Men's Marathon,LES,Athletics,0,0,0,1,1
2024,Men's Marathon,MAR,Athletics,0,0,0,3,3
2024,Men's Marathon,MGL,Athletics,0,0,0,1,1
2024,Men's Marathon,MKD,Athletics,0,0,0,1,1
2024,Men's Marathon,NED,Athletics,0,0,0,2,2
2024,Men's Marathon,NOR,Athletics,0,0,0,2,2
2024,Men's Marathon,PER,Athletics,0,0,0,1,1
2024,Men's Marathon,POR,Athletics,0,0,0,1,1
2024,Men's Marathon,PRK,Athletics,0,0,0,1,1
2024,Men's Marathon,RSA,Athletics,0,0,0,2,2
2024,Men's Marathon,SUD,Athletics,0,0,0,1,1
2024,Men's Marathon,SUI,Athletics,0,0,0,2,2
2024,Men's Marathon,SWE,Athletics,0,0,0,1,1
2024,Men's Marathon,TAN,Athletics,0,0,0,2,2
2024,Men's Marathon,TUR,Athletics,0,0,0,1,1
2024,Men's Marathon,UGA,Athletics,0,0,0,3,3
2024,Men's Marathon,USA,Athletics,0,0,0,3,3
2024,Men's Marathon,UZB,Athletics,0,0,0,1,1
2024,Men's Marathon,ZIM,Athletics,0,0,0,1,1
