Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Triple Jump,ALG,Athletics,0,0,0,1,1
2020,Men's Triple Jump,ARM,Athletics,0,0,0,1,1
2020,Men's Triple Jump,AZE,Athletics,0,0,0,1,1
2020,Men's Triple Jump,BRA,Athletics,0,0,0,3,3
2020,Men's Triple Jump,BUR,Athletics,0,0,1,0,1
2020,Men's Triple Jump,CHN,Athletics,0,1,0,2,3
2020,Men's Triple Jump,CUB,Athletics,0,0,0,2,2
2020,Men's Triple Jump,ESP,Athletics,0,0,0,1,1
2020,Men's Triple Jump,FRA,Athletics,0,0,0,3,3
2020,Men's Triple Jump,GBR,Athletics,0,0,0,1,1
2020,Men's Triple Jump,GEO,Athletics,0,0,0,1,1
2020,Men's Triple Jump,GER,Athletics,0,0,0,1,1
2020,Men's Triple Jump,GRE,Athletics,0,0,0,1,1
2020,Men's Triple Jump,ITA,Athletics,0,0,0,3,3
2020,Men's Triple Jump,JAM,Athletics,0,0,0,1,1
2020,Men's Triple Jump,POR,Athletics,1,0,0,2,3
2020,Men's Triple Jump,TUR,Athletics,0,0,0,1,1
2020,Men's Triple Jump,USA,Athletics,0,0,0,3,3
2020,Men's Triple Jump,UZB,Athletics,0,0,0,1,1
2024,Men's Triple Jump,ALG,Athletics,0,0,0,1,1
2024,Men's Triple Jump,AUS,Athletics,0,0,0,1,1
2024,Men's Triple Jump,BER,Athletics,0,0,0,1,1
2024,Men's Triple Jump,BRA,Athletics,0,0,0,1,1
2024,Men's Triple Jump,BUR,Athletics,0,0,0,1,1
2024,Men's Triple Jump,CHN,Athletics,0,0,0,3,3
2024,Men's Triple Jump,COL,Athletics,0,0,0,1,1
2024,Men's Triple Jump,CUB,Athletics,0,0,0,3,3
2024,Men's Triple Jump,ESP,Athletics,1,0,0,0,1
2024,Men's Triple Jump,FRA,Athletics,0,0,0,2,2
2024,Men's Triple Jump,GER,Athletics,0,0,0,1,1
2024,Men's Triple Jump,IND,Athletics,0,0,0,2,2
2024,Men's Triple Jump,ITA,Athletics,0,0,1,2,3
2024,Men's Triple Jump,JAM,Athletics,0,0,0,2,2
2024,Men's Triple Jump,KOR,Athletics,0,0,0,1,1
2024,Men's Triple Jump,NZL,Athletics,0,0,0,1,1
2024,Men's Triple Jump,POR,Athletics,0,1,0,1,2
2024,Men's Triple Jump,TUR,Athletics,0,0,0,1,1
2024,Men's Triple Jump,USA,Athletics,0,0,0,3,3
2024,Men's Triple Jump,VEN,Athletics,0,0,0,1,1
