Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's 200m,AUS,Athletics,0,0,0,1,1
2020,Women's 200m,BAH,Athletics,0,0,0,3,3
2020,Women's 200m,BEL,Athletics,0,0,0,1,1
2020,Women's 200m,BRA,Athletics,0,0,0,2,2
2020,Women's 200m,BUL,Athletics,0,0,0,2,2
2020,Women's 200m,CAN,Athletics,0,0,0,1,1
2020,Women's 200m,CIV,Athletics,0,0,0,1,1
2020,Women's 200m,ESP,Athletics,0,0,0,1,1
2020,Women's 200m,FRA,Athletics,0,0,0,1,1
2020,Women's 200m,GAM,Athletics,0,0,0,1,1
2020,Women's 200m,GBR,Athletics,0,0,0,1,1
2020,Women's 200m,GER,Athletics,0,0,0,2,2
2020,Women's 200m,GRE,Athletics,0,0,0,1,1
2020,Women's 200m,IND,Athletics,0,0,0,1,1
2020,Women's 200m,IRL,Athletics,0,0,0,1,1
2020,Women's 200m,ITA,Athletics,0,0,0,2,2
2020,Women's 200m,JAM,Athletics,1,0,0,2,3
2020,Women's 200m,KAZ,Athletics,0,0,0,1,1
2020,Women's 200m,NAM,Athletics,0,1,0,1,2
2020,Women's 200m,NED,Athletics,0,0,0,2,2
2020,Women's 200m,NGR,Athletics,0,0,0,2,2
2020,Women's 200m,NIG,Athletics,0,0,0,1,1
2020,Women's 200m,PAK,Athletics,0,0,0,1,1
2020,Women's 200m,PHI,Athletics,0,0,0,1,1
2020,Women's 200m,POR,Athletics,0,0,0,1,1
2020,Women's 200m,SGP,Athletics,0,0,0,1,1
2020,Women's 200m,SLO,Athletics,0,0,0,1,1
2020,Women's 200m,SSD,Athletics,0,0,0,1,1
2020,Women's 200m,SUI,Athletics,0,0,0,2,2
2020,Women's 200m,USA,Athletics,0,0,1,2,3
2020,Women's 200m,ZAM,Athletics,0,0,0,1,1
2024,Women's 200m,AUS,Athletics,0,0,0,2,2
2024,Women's 200m,BEL,Athletics,0,0,0,1,1
2024,Women's 200m,BRA,Athletics,0,0,0,2,2
2024,Women's 200m,CAN,Athletics,0,0,0,2,2
2024,Women's 200m,CHN,Athletics,0,0,0,1,1
2024,Women's 200m,CIV,Athletics,0,0,0,3,3
2024,Women's 200m,CYP,Athletics,0,0,0,1,1
2024,Women's 200m,DEN,Athletics,0,0,0,1,1
2024,Women's 200m,ECU,Athletics,0,0,0,3,3
2024,Women's 200m,ESP,Athletics,0,0,0,1,1
2024,Women's 200m,FRA,Athletics,0,0,0,2,2
2024,Women's 200m,GAM,Athletics,0,0,0,1,1
2024,Women's 200m,GBR,Athletics,0,0,0,3,3
2024,Women's 200m,GRE,Athletics,0,0,0,1,1
2024,Women's 200m,HUN,Athletics,0,0,0,1,1
2024,Women's 200m,ITA,Athletics,0,0,0,2,2
2024,Women's 200m,IVB,Athletics,0,0,0,1,1
2024,Women's 200m,JAM,Athletics,0,0,0,3,3
2024,Women's 200m,KAZ,Athletics,0,0,0,1,1
2024,Women's 200m,LCA,Athletics,0,1,0,0,1
2024,Women's 200m,MEX,Athletics,0,0,0,1,1
2024,Women's 200m,NED,Athletics,0,0,0,1,1
2024,Women's 200m,NGR,Athletics,0,0,0,1,1
2024,Women's 200m,POL,Athletics,0,0,0,2,2
2024,Women's 200m,POR,Athletics,0,0,0,1,1
2024,Women's 200m,SGP,Athletics,0,0,0,1,1
2024,Women's 200m,SUI,Athletics,0,0,0,2,2
2024,Women's 200m,SWE,Athletics,0,0,0,2,2
2024,Women's 200m,USA,Athletics,1,0,1,1,3
