Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's 3000m Steeplechase,ALB,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,ARG,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,AUS,Athletics,0,0,0,3,3
2020,Women's 3000m Steeplechase,BRA,Athletics,0,0,0,2,2
2020,Women's 3000m Steeplechase,BRN,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,CAN,Athletics,0,0,0,3,3
2020,Women's 3000m Steeplechase,CHN,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,DEN,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,ESP,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,ETH,Athletics,0,0,0,3,3
2020,Women's 3000m Steeplechase,GBR,Athletics,0,0,0,2,2
2020,Women's 3000m Steeplechase,GER,Athletics,0,0,0,3,3
2020,Women's 3000m Steeplechase,HUN,Athletics,0,0,0,2,2
2020,Women's 3000m Steeplechase,IRL,Athletics,0,0,0,2,2
2020,Women's 3000m Steeplechase,ISR,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,JPN,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,KEN,Athletics,0,0,1,2,3
2020,Women's 3000m Steeplechase,NED,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,POL,Athletics,0,0,0,2,2
2020,Women's 3000m Steeplechase,SLO,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,TUN,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,UGA,Athletics,1,0,0,0,1
2020,Women's 3000m Steeplechase,UKR,Athletics,0,0,0,1,1
2020,Women's 3000m Steeplechase,USA,Athletics,0,1,0,2,3
2024,Women's 3000m Steeplechase,ALB,Athletics,0,0,0,1,1
2024,Women's 3000m Steeplechase,ARG,Athletics,0,0,0,1,1
2024,Women's 3000m Steeplechase,AUS,Athletics,0,0,0,2,2
2024,Women's 3000m Steeplechase,BRA,Athletics,0,0,0,1,1
2024,Women's 3000m Steeplechase,BRN,Athletics,1,0,0,0,1
2024,Women's 3000m Steeplechase,CAN,Athletics,0,0,0,2,2
2024,Women's 3000m Steeplechase,CHN,Athletics,0,0,0,1,1
2024,Women's 3000m Steeplechase,ESP,Athletics,0,0,0,2,2
2024,Women's 3000m Steeplechase,ETH,Athletics,0,0,0,2,2
2024,Women's 3000m Steeplechase,FIN,Athletics,0,0,0,1,1
2024,Women's 3000m Steeplechase,FRA,Athletics,0,0,0,2,2
2024,Women's 3000m Steeplechase,GBR,Athletics,0,0,0,2,2
2024,Women's 3000m Steeplechase,GER,Athletics,0,0,0,3,3
2024,Women's 3000m Steeplechase,IND,Athletics,0,0,0,1,1
2024,Women's 3000m Steeplechase,KAZ,Athletics,0,0,0,2,2
2024,Women's 3000m Steeplechase,KEN,Athletics,0,0,1,2,3
2024,Women's 3000m Steeplechase,POL,Athletics,0,0,0,3,3
2024,Women's 3000m Steeplechase,ROU,Athletics,0,0,0,1,1
2024,Women's 3000m Steeplechase,TUN,Athletics,0,0,0,1,1
2024,Women's 3000m Steeplechase,UGA,Athletics,0,1,0,0,1
2024,Women's 3000m Steeplechase,USA,Athletics,0,0,0,3,3
