Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Heptathlon,AUT,Athletics,0,0,0,2,2
2020,Women's Heptathlon,BEL,Athletics,1,0,0,1,2
2020,Women's Heptathlon,BEN,Athletics,0,0,0,1,1
2020,Women's Heptathlon,BUR,Athletics,0,0,0,1,1
2020,Women's Heptathlon,CAN,Athletics,0,0,0,1,1
2020,Women's Heptathlon,CHN,Athletics,0,0,0,1,1
2020,Women's Heptathlon,COL,Athletics,0,0,0,1,1
2020,Women's Heptathlon,CUB,Athletics,0,0,0,1,1
2020,Women's Heptathlon,ESP,Athletics,0,0,0,1,1
2020,Women's Heptathlon,FIN,Athletics,0,0,0,1,1
2020,Women's Heptathlon,GBR,Athletics,0,0,0,1,1
2020,Women's Heptathlon,GER,Athletics,0,0,0,2,2
2020,Women's Heptathlon,HUN,Athletics,0,0,0,1,1
2020,Women's Heptathlon,NED,Athletics,0,1,1,1,3
2020,Women's Heptathlon,POL,Athletics,0,0,0,1,1
2020,Women's Heptathlon,USA,Athletics,0,0,0,3,3
2020,Women's Heptathlon,UZB,Athletics,0,0,0,1,1
2024,Women's Heptathlon,AUS,Athletics,0,0,0,2,2
2024,Women's Heptathlon,BEL,Athletics,1,0,1,0,2
2024,Women's Heptathlon,COL,Athletics,0,0,0,1,1
2024,Women's Heptathlon,FIN,Athletics,0,0,0,1,1
2024,Women's Heptathlon,FRA,Athletics,0,0,0,1,1
2024,Women's Heptathlon,GBR,Athletics,0,1,0,1,2
2024,Women's Heptathlon,GER,Athletics,0,0,0,2,2
2024,Women's Heptathlon,HUN,Athletics,0,0,0,2,2
2024,Women's Heptathlon,IRL,Athletics,0,0,0,1,1
2024,Women's Heptathlon,ITA,Athletics,0,0,0,1,1
2024,Women's Heptathlon,NED,Athletics,0,0,0,3,3
2024,Women's Heptathlon,POL,Athletics,0,0,0,1,1
2024,Women's Heptathlon,SUI,Athletics,0,0,0,1,1
2024,Women's Heptathlon,USA,Athletics,0,0,0,3,3
