Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1992,Badminton Men's Doubles,AUT,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,BUL,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,CAN,Badminton,0,0,0,4,4
1992,Badminton Men's Doubles,CHN,Badminton,0,0,2,2,4
1992,Badminton Men's Doubles,DEN,Badminton,0,0,0,4,4
1992,Badminton Men's Doubles,GBR,Badminton,0,0,0,4,4
1992,Badminton Men's Doubles,GER,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,HKG,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,INA,Badminton,0,2,0,2,4
1992,Badminton Men's Doubles,IND,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,ISL,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,JPN,Badminton,0,0,0,4,4
1992,Badminton Men's Doubles,KOR,Badminton,2,0,0,2,4
1992,Badminton Men's Doubles,MAS,Badminton,0,0,2,2,4
1992,Badminton Men's Doubles,NZL,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,POR,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,RSA,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,SGP,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,SWE,Badminton,0,0,0,4,4
1992,Badminton Men's Doubles,THA,Badminton,0,0,0,2,2
1992,Badminton Men's Doubles,USA,Badminton,0,0,0,2,2
1996,Badminton Men's Doubles,AUS,Badminton,0,0,0,2,2
1996,Badminton Men's Doubles,CAN,Badminton,0,0,0,4,4
1996,Badminton Men's Doubles,CHN,Badminton,0,0,0,4,4
1996,Badminton Men's Doubles,DEN,Badminton,0,0,0,6,6
1996,Badminton Men's Doubles,GBR,Badminton,0,0,0,6,6
1996,Badminton Men's Doubles,GER,Badminton,0,0,0,2,2
1996,Badminton Men's Doubles,HKG,Badminton,0,0,0,2,2
1996,Badminton Men's Doubles,INA,Badminton,2,0,2,2,6
1996,Badminton Men's Doubles,KOR,Badminton,0,0,0,4,4
