Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1992,Badminton Women's Doubles,AUS,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,BUL,Badminton,0,0,0,4,4
1992,Badminton Women's Doubles,CAN,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,CHN,Badminton,0,2,2,0,4
1992,Badminton Women's Doubles,DEN,Badminton,0,0,0,4,4
1992,Badminton Women's Doubles,FRA,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,GBR,Badminton,0,0,0,4,4
1992,Badminton Women's Doubles,GER,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,HUN,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,INA,Badminton,0,0,0,4,4
1992,Badminton Women's Doubles,JPN,Badminton,0,0,0,6,6
1992,Badminton Women's Doubles,KOR,Badminton,2,0,2,0,4
1992,Badminton Women's Doubles,MRI,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,NED,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,NZL,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,POL,Badminton,0,0,0,4,4
1992,Badminton Women's Doubles,SUI,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,SWE,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,THA,Badminton,0,0,0,2,2
1992,Badminton Women's Doubles,USA,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,AUS,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,BUL,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,CAN,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,CHN,Badminton,2,0,2,2,6
1996,Badminton Women's Doubles,DEN,Badminton,0,0,0,6,6
1996,Badminton Women's Doubles,GBR,Badminton,0,0,0,4,4
1996,Badminton Women's Doubles,GER,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,INA,Badminton,0,0,0,4,4
1996,Badminton Women's Doubles,JPN,Badminton,0,0,0,4,4
1996,Badminton Women's Doubles,KOR,Badminton,0,2,0,4,6
1996,Badminton Women's Doubles,MRI,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,NED,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,NZL,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,RUS,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,SWE,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,TPE,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,UKR,Badminton,0,0,0,2,2
1996,Badminton Women's Doubles,USA,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,AUS,Badminton,0,0,0,4,4
2000,Badminton Women's Doubles,BUL,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,CAN,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,CHN,Badminton,2,2,2,0,6
2000,Badminton Women's Doubles,DEN,Badminton,0,0,0,6,6
2000,Badminton Women's Doubles,GBR,Badminton,0,0,0,4,4
2000,Badminton Women's Doubles,GER,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,HKG,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,INA,Badminton,0,0,0,4,4
2000,Badminton Women's Doubles,JPN,Badminton,0,0,0,4,4
2000,Badminton Women's Doubles,KOR,Badminton,0,0,0,4,4
2000,Badminton Women's Doubles,MRI,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,NED,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,RUS,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,THA,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,TPE,Badminton,0,0,0,2,2
2000,Badminton Women's Doubles,UKR,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,AUS,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,BUL,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,CAN,Badminton,0,0,0,4,4
2004,Badminton Women's Doubles,CHN,Badminton,2,2,0,2,6
2004,Badminton Women's Doubles,DEN,Badminton,0,0,0,4,4
2004,Badminton Women's Doubles,GBR,Badminton,0,0,0,4,4
2004,Badminton Women's Doubles,GER,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,HKG,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,INA,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,JPN,Badminton,0,0,0,4,4
2004,Badminton Women's Doubles,KOR,Badminton,0,0,2,2,4
2004,Badminton Women's Doubles,MAS,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,NED,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,RSA,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,THA,Badminton,0,0,0,2,2
2004,Badminton Women's Doubles,TPE,Badminton,0,0,0,2,2
2008,Badminton Women's Doubles,AUS,Badminton,0,0,0,2,2
