Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Doubles Team,CAN,Badminton,0,0,0,2,2
2020,Men's Doubles Team,CHN,Badminton,0,2,0,0,2
2020,Men's Doubles Team,DEN,Badminton,0,0,0,2,2
2020,Men's Doubles Team,GBR,Badminton,0,0,0,2,2
2020,Men's Doubles Team,GER,Badminton,0,0,0,2,2
2020,Men's Doubles Team,INA,Badminton,0,0,0,4,4
2020,Men's Doubles Team,IND,Badminton,0,0,0,2,2
2020,Men's Doubles Team,JPN,Badminton,0,0,0,4,4
2020,Men's Doubles Team,KOR,Badminton,0,0,0,2,2
2020,Men's Doubles Team,MAS,Badminton,0,0,2,0,2
2020,Men's Doubles Team,NGR,Badminton,0,0,0,2,2
2020,Men's Doubles Team,ROC,Badminton,0,0,0,2,2
2020,Men's Doubles Team,TPE,Badminton,2,0,0,0,2
2020,Men's Doubles Team,USA,Badminton,0,0,0,2,2
