Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Singles,AUT,Badminton,0,0,0,1,1
2020,Men's Singles,AZE,Badminton,0,0,0,1,1
2020,Men's Singles,BRA,Badminton,0,0,0,1,1
2020,Men's Singles,CAN,Badminton,0,0,0,1,1
2020,Men's Singles,CHN,Badminton,0,1,0,1,2
2020,Men's Singles,DEN,Badminton,1,0,0,1,2
2020,Men's Singles,EOR,Badminton,0,0,0,1,1
2020,Men's Singles,ESP,Badminton,0,0,0,1,1
2020,Men's Singles,EST,Badminton,0,0,0,1,1
2020,Men's Singles,FIN,Badminton,0,0,0,1,1
2020,Men's Singles,FRA,Badminton,0,0,0,1,1
2020,Men's Singles,GBR,Badminton,0,0,0,1,1
2020,Men's Singles,GER,Badminton,0,0,0,1,1
2020,Men's Singles,GUA,Badminton,0,0,0,1,1
2020,Men's Singles,HKG,Badminton,0,0,0,1,1
2020,Men's Singles,HUN,Badminton,0,0,0,1,1
2020,Men's Singles,INA,Badminton,0,0,1,1,2
2020,Men's Singles,IND,Badminton,0,0,0,1,1
2020,Men's Singles,IRL,Badminton,0,0,0,1,1
2020,Men's Singles,ISR,Badminton,0,0,0,1,1
2020,Men's Singles,JPN,Badminton,0,0,0,2,2
2020,Men's Singles,KOR,Badminton,0,0,0,1,1
2020,Men's Singles,MAS,Badminton,0,0,0,1,1
2020,Men's Singles,MEX,Badminton,0,0,0,1,1
2020,Men's Singles,MLT,Badminton,0,0,0,1,1
2020,Men's Singles,MRI,Badminton,0,0,0,1,1
2020,Men's Singles,NED,Badminton,0,0,0,1,1
2020,Men's Singles,ROC,Badminton,0,0,0,1,1
2020,Men's Singles,SGP,Badminton,0,0,0,1,1
2020,Men's Singles,SRI,Badminton,0,0,0,1,1
2020,Men's Singles,SUR,Badminton,0,0,0,1,1
2020,Men's Singles,SWE,Badminton,0,0,0,1,1
2020,Men's Singles,THA,Badminton,0,0,0,1,1
2020,Men's Singles,TPE,Badminton,0,0,0,2,2
2020,Men's Singles,UKR,Badminton,0,0,0,1,1
2020,Men's Singles,USA,Badminton,0,0,0,1,1
2020,Men's Singles,VIE,Badminton,0,0,0,1,1
2024,Men's Singles,AUT,Badminton,0,0,0,1,1
2024,Men's Singles,AZE,Badminton,0,0,0,1,1
2024,Men's Singles,BEL,Badminton,0,0,0,1,1
2024,Men's Singles,BRA,Badminton,0,0,0,1,1
2024,Men's Singles,CAN,Badminton,0,0,0,1,1
2024,Men's Singles,CHN,Badminton,0,0,0,2,2
2024,Men's Singles,CZE,Badminton,0,0,0,1,1
2024,Men's Singles,DEN,Badminton,1,0,0,1,2
2024,Men's Singles,ESA,Badminton,0,0,0,1,1
2024,Men's Singles,ESP,Badminton,0,0,0,1,1
2024,Men's Singles,FIN,Badminton,0,0,0,1,1
2024,Men's Singles,FRA,Badminton,0,0,0,1,1
2024,Men's Singles,GER,Badminton,0,0,0,1,1
2024,Men's Singles,GUA,Badminton,0,0,0,1,1
2024,Men's Singles,HKG,Badminton,0,0,0,1,1
2024,Men's Singles,INA,Badminton,0,0,0,2,2
2024,Men's Singles,IND,Badminton,0,0,0,2,2
2024,Men's Singles,IRL,Badminton,0,0,0,1,1
2024,Men's Singles,ISR,Badminton,0,0,0,1,1
2024,Men's Singles,ITA,Badminton,0,0,0,1,1
2024,Men's Singles,JPN,Badminton,0,0,0,2,2
2024,Men's Singles,KAZ,Badminton,0,0,0,1,1
2024,Men's Singles,KOR,Badminton,0,0,0,1,1
2024,Men's Singles,MAS,Badminton,0,0,1,0,1
2024,Men's Singles,MEX,Badminton,0,0,0,1,1
2024,Men's Singles,MRI,Badminton,0,0,0,1,1
2024,Men's Singles,NEP,Badminton,0,0,0,1,1
2024,Men's Singles,NGR,Badminton,0,0,0,1,1
2024,Men's Singles,SGP,Badminton,0,0,0,1,1
2024,Men's Singles,SRI,Badminton,0,0,0,1,1
2024,Men's Singles,SUI,Badminton,0,0,0,1,1
2024,Men's Singles,SUR,Badminton,0,0,0,1,1
2024,Men's Singles,THA,Badminton,0,1,0,0,1
2024,Men's Singles,TPE,Badminton,0,0,0,1,1
2024,Men's Singles,USA,Badminton,0,0,0,1,1
2024,Men's Singles,VIE,Badminton,0,0,0,1,1
