Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Mixed Doubles,ALG,Badminton,0,0,0,2,2
2024,Mixed Doubles,CHN,Badminton,2,0,0,2,4
2024,Mixed Doubles,DEN,Badminton,0,0,0,2,2
2024,Mixed Doubles,FRA,Badminton,0,0,0,2,2
2024,Mixed Doubles,HKG,Badminton,0,0,0,2,2
2024,Mixed Doubles,INA,Badminton,0,0,0,2,2
2024,Mixed Doubles,JPN,Badminton,0,0,2,0,2
2024,Mixed Doubles,KOR,Badminton,0,2,0,2,4
2024,Mixed Doubles,MAS,Badminton,0,0,0,2,2
2024,Mixed Doubles,NED,Badminton,0,0,0,2,2
2024,Mixed Doubles,SGP,Badminton,0,0,0,2,2
2024,Mixed Doubles,THA,Badminton,0,0,0,2,2
2024,Mixed Doubles,TPE,Badminton,0,0,0,2,2
2024,Mixed Doubles,USA,Badminton,0,0,0,2,2
