Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Women's Doubles,AUS,Badminton,0,0,0,2,2
2024,Women's Doubles,BUL,Badminton,0,0,0,2,2
2024,Women's Doubles,CHN,Badminton,2,2,0,0,4
2024,Women's Doubles,DEN,Badminton,0,0,0,2,2
2024,Women's Doubles,FRA,Badminton,0,0,0,2,2
2024,Women's Doubles,HKG,Badminton,0,0,0,2,2
2024,Women's Doubles,INA,Badminton,0,0,0,2,2
2024,Women's Doubles,IND,Badminton,0,0,0,2,2
2024,Women's Doubles,JPN,Badminton,0,0,2,2,4
2024,Women's Doubles,KOR,Badminton,0,0,0,4,4
2024,Women's Doubles,MAS,Badminton,0,0,0,2,2
2024,Women's Doubles,THA,Badminton,0,0,0,2,2
2024,Women's Doubles,USA,Badminton,0,0,0,2,2
