Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Singles,AUS,Badminton,0,0,0,1,1
2020,Women's Singles,BEL,Badminton,0,0,0,1,1
2020,Women's Singles,BRA,Badminton,0,0,0,1,1
2020,Women's Singles,BUL,Badminton,0,0,0,1,1
2020,Women's Singles,CAN,Badminton,0,0,0,1,1
2020,Women's Singles,CHN,Badminton,1,0,0,1,2
2020,Women's Singles,DEN,Badminton,0,0,0,1,1
2020,Women's Singles,EGY,Badminton,0,0,0,1,1
2020,Women's Singles,ESP,Badminton,0,0,0,1,1
2020,Women's Singles,EST,Badminton,0,0,0,1,1
2020,Women's Singles,FRA,Badminton,0,0,0,1,1
2020,Women's Singles,GBR,Badminton,0,0,0,1,1
2020,Women's Singles,GER,Badminton,0,0,0,1,1
2020,Women's Singles,GUA,Badminton,0,0,0,1,1
2020,Women's Singles,HKG,Badminton,0,0,0,1,1
2020,Women's Singles,HUN,Badminton,0,0,0,1,1
2020,Women's Singles,INA,Badminton,0,0,0,1,1
2020,Women's Singles,IND,Badminton,0,0,1,0,1
2020,Women's Singles,IRI,Badminton,0,0,0,1,1
2020,Women's Singles,ISR,Badminton,0,0,0,1,1
2020,Women's Singles,JPN,Badminton,0,0,0,2,2
2020,Women's Singles,KOR,Badminton,0,0,0,2,2
2020,Women's Singles,MAS,Badminton,0,0,0,1,1
2020,Women's Singles,MDV,Badminton,0,0,0,1,1
2020,Women's Singles,MEX,Badminton,0,0,0,1,1
2020,Women's Singles,MYA,Badminton,0,0,0,1,1
2020,Women's Singles,NGR,Badminton,0,0,0,1,1
2020,Women's Singles,PAK,Badminton,0,0,0,1,1
2020,Women's Singles,PER,Badminton,0,0,0,1,1
2020,Women's Singles,ROC,Badminton,0,0,0,1,1
2020,Women's Singles,SGP,Badminton,0,0,0,1,1
2020,Women's Singles,SUI,Badminton,0,0,0,1,1
2020,Women's Singles,SVK,Badminton,0,0,0,1,1
2020,Women's Singles,THA,Badminton,0,0,0,2,2
2020,Women's Singles,TPE,Badminton,0,1,0,0,1
2020,Women's Singles,TUR,Badminton,0,0,0,1,1
2020,Women's Singles,UKR,Badminton,0,0,0,1,1
2020,Women's Singles,USA,Badminton,0,0,0,1,1
2020,Women's Singles,VIE,Badminton,0,0,0,1,1
2024,Women's Singles,AUS,Badminton,0,0,0,1,1
2024,Women's Singles,AZE,Badminton,0,0,0,1,1
2024,Women's Singles,BEL,Badminton,0,0,0,1,1
2024,Women's Singles,BRA,Badminton,0,0,0,1,1
2024,Women's Singles,BUL,Badminton,0,0,0,1,1
2024,Women's Singles,CAN,Badminton,0,0,0,1,1
2024,Women's Singles,CHN,Badminton,0,1,0,1,2
2024,Women's Singles,CZE,Badminton,0,0,0,1,1
2024,Women's Singles,DEN,Badminton,0,0,0,1,1
2024,Women's Singles,EOR,Badminton,0,0,0,1,1
2024,Women's Singles,ESP,Badminton,0,0,0,1,1
2024,Women's Singles,EST,Badminton,0,0,0,1,1
2024,Women's Singles,FRA,Badminton,0,0,0,1,1
2024,Women's Singles,GBR,Badminton,0,0,0,1,1
2024,Women's Singles,GER,Badminton,0,0,0,1,1
2024,Women's Singles,HKG,Badminton,0,0,0,1,1
2024,Women's Singles,INA,Badminton,0,0,1,0,1
2024,Women's Singles,IND,Badminton,0,0,0,1,1
2024,Women's Singles,IRL,Badminton,0,0,0,1,1
2024,Women's Singles,JPN,Badminton,0,0,0,2,2
2024,Women's Singles,KOR,Badminton,1,0,0,1,2
2024,Women's Singles,MAS,Badminton,0,0,0,1,1
2024,Women's Singles,MDV,Badminton,0,0,0,1,1
2024,Women's Singles,MRI,Badminton,0,0,0,1,1
2024,Women's Singles,MYA,Badminton,0,0,0,1,1
2024,Women's Singles,PER,Badminton,0,0,0,1,1
2024,Women's Singles,RSA,Badminton,0,0,0,1,1
2024,Women's Singles,SGP,Badminton,0,0,0,1,1
2024,Women's Singles,SUI,Badminton,0,0,0,1,1
2024,Women's Singles,THA,Badminton,0,0,0,2,2
2024,Women's Singles,TPE,Badminton,0,0,0,1,1
2024,Women's Singles,TUR,Badminton,0,0,0,1,1
2024,Women's Singles,UKR,Badminton,0,0,0,1,1
2024,Women's Singles,USA,Badminton,0,0,0,1,1
2024,Women's Singles,VIE,Badminton,0,0,0,1,1
