Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men,AUS,Basketball,0,0,0,12,12
2024,Men,BRA,Basketball,0,0,0,12,12
2024,Men,CAN,Basketball,0,0,0,12,12
2024,Men,ESP,Basketball,0,0,0,12,12
2024,Men,FRA,Basketball,0,12,0,0,12
2024,Men,GER,Basketball,0,0,0,12,12
2024,Men,GRE,Basketball,0,0,0,12,12
2024,Men,JPN,Basketball,0,0,0,12,12
2024,Men,PUR,Basketball,0,0,0,12,12
2024,Men,SRB,Basketball,0,0,12,0,12
2024,Men,SSD,Basketball,0,0,0,12,12
2024,Men,USA,Basketball,12,0,0,0,12
