Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1904,Boxing Men's Heavyweight,USA,Boxing,1,1,1,0,3
1908,Boxing Men's Heavyweight,GBR,Boxing,1,1,1,3,6
1920,Boxing Men's Heavyweight,BEL,Boxing,0,0,0,1,1
1920,Boxing Men's Heavyweight,DEN,Boxing,0,1,0,0,1
1920,Boxing Men's Heavyweight,FRA,Boxing,0,0,1,0,1
1920,Boxing Men's Heavyweight,GBR,Boxing,1,0,0,1,2
1920,Boxing Men's Heavyweight,ITA,Boxing,0,0,0,1,1
1920,Boxing Men's Heavyweight,NOR,Boxing,0,0,0,1,1
1920,Boxing Men's Heavyweight,USA,Boxing,0,0,0,2,2
1924,Boxing Men's Heavyweight,ARG,Boxing,0,0,1,0,1
1924,Boxing Men's Heavyweight,AUS,Boxing,0,0,0,1,1
1924,Boxing Men's Heavyweight,DEN,Boxing,0,1,0,1,2
1924,Boxing Men's Heavyweight,FRA,Boxing,0,0,0,2,2
1924,Boxing Men's Heavyweight,GBR,Boxing,0,0,0,2,2
1924,Boxing Men's Heavyweight,ITA,Boxing,0,0,0,2,2
1924,Boxing Men's Heavyweight,NED,Boxing,0,0,0,1,1
1924,Boxing Men's Heavyweight,NOR,Boxing,1,0,0,0,1
1924,Boxing Men's Heavyweight,POL,Boxing,0,0,0,1,1
1924,Boxing Men's Heavyweight,USA,Boxing,0,0,0,2,2
1928,Boxing Men's Heavyweight,ARG,Boxing,1,0,0,0,1
1928,Boxing Men's Heavyweight,DEN,Boxing,0,0,1,0,1
1928,Boxing Men's Heavyweight,FRA,Boxing,0,0,0,1,1
1928,Boxing Men's Heavyweight,GBR,Boxing,0,0,0,1,1
1928,Boxing Men's Heavyweight,GER,Boxing,0,0,0,1,1
1928,Boxing Men's Heavyweight,IRL,Boxing,0,0,0,1,1
1928,Boxing Men's Heavyweight,NED,Boxing,0,0,0,1,1
1928,Boxing Men's Heavyweight,NOR,Boxing,0,0,0,1,1
1928,Boxing Men's Heavyweight,SWE,Boxing,0,1,0,0,1
1928,Boxing Men's Heavyweight,USA,Boxing,0,0,0,1,1
1932,Boxing Men's Heavyweight,ARG,Boxing,1,0,0,0,1
1932,Boxing Men's Heavyweight,CAN,Boxing,0,0,0,1,1
1932,Boxing Men's Heavyweight,FIN,Boxing,0,0,0,1,1
1932,Boxing Men's Heavyweight,GER,Boxing,0,0,0,1,1
1932,Boxing Men's Heavyweight,ITA,Boxing,0,1,0,0,1
1932,Boxing Men's Heavyweight,USA,Boxing,0,0,1,0,1
1936,Boxing Men's Heavyweight,ARG,Boxing,0,1,0,0,1
1936,Boxing Men's Heavyweight,AUT,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,BEL,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,DEN,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,GBR,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,GER,Boxing,1,0,0,0,1
1936,Boxing Men's Heavyweight,HUN,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,ITA,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,LUX,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,NED,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,NOR,Boxing,0,0,1,0,1
1936,Boxing Men's Heavyweight,POL,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,SUI,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,SWE,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,TCH,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,URU,Boxing,0,0,0,1,1
1936,Boxing Men's Heavyweight,USA,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,ARG,Boxing,1,0,0,0,1
1948,Boxing Men's Heavyweight,AUT,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,BEL,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,BRA,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,CAN,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,CHI,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,ESP,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,FRA,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,GBR,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,IRI,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,IRL,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,ITA,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,RSA,Boxing,0,0,1,0,1
1948,Boxing Men's Heavyweight,SUI,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,SWE,Boxing,0,1,0,0,1
1948,Boxing Men's Heavyweight,URU,Boxing,0,0,0,1,1
1948,Boxing Men's Heavyweight,USA,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,ARG,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,AUS,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,BEL,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,CAN,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,EGY,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,FIN,Boxing,0,0,1,0,1
1952,Boxing Men's Heavyweight,FRA,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,GBR,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,GER,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,HUN,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,IRL,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,ITA,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,POL,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,ROU,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,RSA,Boxing,0,0,1,0,1
1952,Boxing Men's Heavyweight,SUI,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,SWE,Boxing,0,1,0,0,1
1952,Boxing Men's Heavyweight,TCH,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,URS,Boxing,0,0,0,1,1
1952,Boxing Men's Heavyweight,USA,Boxing,1,0,0,0,1
1952,Boxing Men's Heavyweight,YUG,Boxing,0,0,0,1,1
1956,Boxing Men's Heavyweight,ARG,Boxing,0,0,0,1,1
1956,Boxing Men's Heavyweight,BUL,Boxing,0,0,0,1,1
1956,Boxing Men's Heavyweight,FIN,Boxing,0,0,0,1,1
1956,Boxing Men's Heavyweight,GER,Boxing,0,0,0,1,1
1956,Boxing Men's Heavyweight,IRL,Boxing,0,0,0,1,1
1956,Boxing Men's Heavyweight,ITA,Boxing,0,0,1,0,1
1956,Boxing Men's Heavyweight,RSA,Boxing,0,0,1,0,1
1956,Boxing Men's Heavyweight,SWE,Boxing,0,0,0,1,1
1956,Boxing Men's Heavyweight,TCH,Boxing,0,0,0,1,1
1956,Boxing Men's Heavyweight,URS,Boxing,0,1,0,0,1
1956,Boxing Men's Heavyweight,USA,Boxing,1,0,0,0,1
1960,Boxing Men's Heavyweight,ARG,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,AUS,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,BEL,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,ESP,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,FRA,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,GBR,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,GER,Boxing,0,0,1,0,1
1960,Boxing Men's Heavyweight,IRL,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,ITA,Boxing,1,0,0,0,1
1960,Boxing Men's Heavyweight,POL,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,ROU,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,RSA,Boxing,0,1,0,0,1
1960,Boxing Men's Heavyweight,SUI,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,TCH,Boxing,0,0,1,0,1
1960,Boxing Men's Heavyweight,URS,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,USA,Boxing,0,0,0,1,1
1960,Boxing Men's Heavyweight,YUG,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,ARG,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,AUS,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,BUL,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,GER,Boxing,0,1,0,0,1
1964,Boxing Men's Heavyweight,ITA,Boxing,0,0,1,0,1
1964,Boxing Men's Heavyweight,JPN,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,PAK,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,POL,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,ROU,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,SUI,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,TCH,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,UGA,Boxing,0,0,0,1,1
1964,Boxing Men's Heavyweight,URS,Boxing,0,0,1,0,1
1964,Boxing Men's Heavyweight,USA,Boxing,1,0,0,0,1
1968,Boxing Men's Heavyweight,BUL,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,CUB,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,EGY,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,FRG,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,GBR,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,GDR,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,GHA,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,ITA,Boxing,0,0,1,0,1
1968,Boxing Men's Heavyweight,MEX,Boxing,0,0,1,0,1
1968,Boxing Men's Heavyweight,NED,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,POL,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,ROU,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,SLE,Boxing,0,0,0,1,1
1968,Boxing Men's Heavyweight,URS,Boxing,0,1,0,0,1
1968,Boxing Men's Heavyweight,USA,Boxing,1,0,0,0,1
