Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1968,Boxing Men's Light-Flyweight,ARG,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,AUS,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,BUL,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,CUB,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,EGY,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,GDR,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,HUN,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,ITA,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,JPN,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,KOR,Boxing,0,1,0,0,1
1968,Boxing Men's Light-Flyweight,MAR,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,MEX,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,MYA,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,NGR,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,PHI,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,POL,Boxing,0,0,1,0,1
1968,Boxing Men's Light-Flyweight,SRI,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,TUR,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,UGA,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,URS,Boxing,0,0,0,1,1
1968,Boxing Men's Light-Flyweight,USA,Boxing,0,0,1,0,1
1968,Boxing Men's Light-Flyweight,VEN,Boxing,1,0,0,0,1
1968,Boxing Men's Light-Flyweight,ZAM,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,ARG,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,AUS,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,BEN,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,BUL,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,CHI,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,COL,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,CUB,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,EGY,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,ESP,Boxing,0,0,1,0,1
1972,Boxing Men's Light-Flyweight,ETH,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,GBR,Boxing,0,0,1,0,1
1972,Boxing Men's Light-Flyweight,HUN,Boxing,1,0,0,0,1
1972,Boxing Men's Light-Flyweight,ITA,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,JPN,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,KOR,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,MAW,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,MEX,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,MGL,Boxing,0,0,0,1,1
1972,Boxing Men's Light-Flyweight,PHI,Boxing,0,0,0,1,1
