Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1920,Boxing Men's Light-Heavyweight,DEN,Boxing,0,0,0,1,1
1920,Boxing Men's Light-Heavyweight,FRA,Boxing,0,0,0,2,2
1920,Boxing Men's Light-Heavyweight,GBR,Boxing,0,0,1,1,2
1920,Boxing Men's Light-Heavyweight,NOR,Boxing,0,1,0,1,2
1920,Boxing Men's Light-Heavyweight,RSA,Boxing,0,0,0,2,2
1920,Boxing Men's Light-Heavyweight,USA,Boxing,1,0,0,1,2
1924,Boxing Men's Light-Heavyweight,ARG,Boxing,0,0,0,1,1
1924,Boxing Men's Light-Heavyweight,BEL,Boxing,0,0,0,1,1
1924,Boxing Men's Light-Heavyweight,CAN,Boxing,0,0,0,1,1
1924,Boxing Men's Light-Heavyweight,CHI,Boxing,0,0,0,1,1
1924,Boxing Men's Light-Heavyweight,DEN,Boxing,0,1,0,1,2
1924,Boxing Men's Light-Heavyweight,FRA,Boxing,0,0,0,2,2
1924,Boxing Men's Light-Heavyweight,GBR,Boxing,1,0,0,1,2
1924,Boxing Men's Light-Heavyweight,IRL,Boxing,0,0,0,1,1
1924,Boxing Men's Light-Heavyweight,ITA,Boxing,0,0,0,2,2
1924,Boxing Men's Light-Heavyweight,LUX,Boxing,0,0,0,2,2
1924,Boxing Men's Light-Heavyweight,NED,Boxing,0,0,0,1,1
1924,Boxing Men's Light-Heavyweight,NOR,Boxing,0,0,1,0,1
1924,Boxing Men's Light-Heavyweight,POL,Boxing,0,0,0,1,1
1924,Boxing Men's Light-Heavyweight,USA,Boxing,0,0,0,2,2
1928,Boxing Men's Light-Heavyweight,ARG,Boxing,1,0,0,0,1
1928,Boxing Men's Light-Heavyweight,CAN,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,CHI,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,ESP,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,FRA,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,GBR,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,GER,Boxing,0,1,0,0,1
1928,Boxing Men's Light-Heavyweight,IRL,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,ITA,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,LTU,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,LUX,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,NED,Boxing,0,0,1,0,1
1928,Boxing Men's Light-Heavyweight,NZL,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,RSA,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,SWE,Boxing,0,0,0,1,1
1928,Boxing Men's Light-Heavyweight,USA,Boxing,0,0,0,1,1
1932,Boxing Men's Light-Heavyweight,ARG,Boxing,0,0,0,1,1
1932,Boxing Men's Light-Heavyweight,DEN,Boxing,0,0,1,0,1
1932,Boxing Men's Light-Heavyweight,GER,Boxing,0,0,0,1,1
1932,Boxing Men's Light-Heavyweight,GRE,Boxing,0,0,0,1,1
1932,Boxing Men's Light-Heavyweight,IRL,Boxing,0,0,0,1,1
1932,Boxing Men's Light-Heavyweight,ITA,Boxing,0,1,0,0,1
1932,Boxing Men's Light-Heavyweight,RSA,Boxing,1,0,0,0,1
1932,Boxing Men's Light-Heavyweight,USA,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,ARG,Boxing,0,0,1,0,1
1936,Boxing Men's Light-Heavyweight,AUS,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,AUT,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,BEL,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,CAN,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,CHN,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,DEN,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,EGY,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,FIN,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,FRA,Boxing,1,0,0,0,1
1936,Boxing Men's Light-Heavyweight,GBR,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,GER,Boxing,0,1,0,0,1
1936,Boxing Men's Light-Heavyweight,ITA,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,LUX,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,NED,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,NOR,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,RSA,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,SUI,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,TCH,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,URU,Boxing,0,0,0,1,1
1936,Boxing Men's Light-Heavyweight,USA,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,ARG,Boxing,0,0,1,0,1
1948,Boxing Men's Light-Heavyweight,AUS,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,AUT,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,BEL,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,DEN,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,EGY,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,ESP,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,FIN,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,FRA,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,GBR,Boxing,0,1,0,0,1
1948,Boxing Men's Light-Heavyweight,HUN,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,IND,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,IRI,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,IRL,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,ITA,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,JAM,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,NED,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,POL,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,PUR,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,RSA,Boxing,1,0,0,0,1
1948,Boxing Men's Light-Heavyweight,SUI,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,TCH,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,URU,Boxing,0,0,0,1,1
1948,Boxing Men's Light-Heavyweight,USA,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,ARG,Boxing,0,1,0,0,1
1952,Boxing Men's Light-Heavyweight,AUT,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,BRA,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,EGY,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,FIN,Boxing,0,0,1,0,1
1952,Boxing Men's Light-Heavyweight,FRA,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,GBR,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,GER,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,HUN,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,IND,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,ITA,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,NED,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,NOR,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,POL,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,ROU,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,SWE,Boxing,0,0,0,1,1
1952,Boxing Men's Light-Heavyweight,URS,Boxing,0,0,1,0,1
1952,Boxing Men's Light-Heavyweight,USA,Boxing,1,0,0,0,1
1956,Boxing Men's Light-Heavyweight,ARG,Boxing,0,0,0,1,1
1956,Boxing Men's Light-Heavyweight,AUS,Boxing,0,0,0,1,1
1956,Boxing Men's Light-Heavyweight,CAN,Boxing,0,0,0,1,1
1956,Boxing Men's Light-Heavyweight,CHI,Boxing,0,0,1,0,1
1956,Boxing Men's Light-Heavyweight,ITA,Boxing,0,0,0,1,1
1956,Boxing Men's Light-Heavyweight,POL,Boxing,0,0,0,1,1
1956,Boxing Men's Light-Heavyweight,ROU,Boxing,0,1,0,0,1
1956,Boxing Men's Light-Heavyweight,RSA,Boxing,0,0,0,1,1
1956,Boxing Men's Light-Heavyweight,SWE,Boxing,0,0,0,1,1
1956,Boxing Men's Light-Heavyweight,URS,Boxing,0,0,1,0,1
1956,Boxing Men's Light-Heavyweight,USA,Boxing,1,0,0,0,1
