Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1904,Boxing Men's Middleweight,USA,Boxing,1,1,0,0,2
1908,Boxing Men's Middleweight,ANZ,Boxing,0,1,0,0,1
1908,Boxing Men's Middleweight,FRA,Boxing,0,0,0,3,3
1908,Boxing Men's Middleweight,GBR,Boxing,1,0,1,4,6
1920,Boxing Men's Middleweight,BEL,Boxing,0,0,0,2,2
1920,Boxing Men's Middleweight,CAN,Boxing,0,1,1,0,2
1920,Boxing Men's Middleweight,DEN,Boxing,0,0,0,2,2
1920,Boxing Men's Middleweight,FRA,Boxing,0,0,0,2,2
1920,Boxing Men's Middleweight,GBR,Boxing,1,0,0,1,2
1920,Boxing Men's Middleweight,NED,Boxing,0,0,0,2,2
1920,Boxing Men's Middleweight,NOR,Boxing,0,0,0,2,2
1920,Boxing Men's Middleweight,RSA,Boxing,0,0,0,1,1
1920,Boxing Men's Middleweight,USA,Boxing,0,0,0,2,2
1924,Boxing Men's Middleweight,ARG,Boxing,0,0,0,1,1
1924,Boxing Men's Middleweight,AUS,Boxing,0,0,0,1,1
1924,Boxing Men's Middleweight,BEL,Boxing,0,0,1,1,2
1924,Boxing Men's Middleweight,CAN,Boxing,0,0,0,2,2
1924,Boxing Men's Middleweight,FRA,Boxing,0,0,0,2,2
1924,Boxing Men's Middleweight,GBR,Boxing,1,1,0,0,2
1924,Boxing Men's Middleweight,IRL,Boxing,0,0,0,1,1
1924,Boxing Men's Middleweight,ITA,Boxing,0,0,0,2,2
1924,Boxing Men's Middleweight,LUX,Boxing,0,0,0,2,2
1924,Boxing Men's Middleweight,NED,Boxing,0,0,0,1,1
1924,Boxing Men's Middleweight,NOR,Boxing,0,0,0,2,2
1924,Boxing Men's Middleweight,POL,Boxing,0,0,0,1,1
1924,Boxing Men's Middleweight,SUI,Boxing,0,0,0,2,2
1924,Boxing Men's Middleweight,USA,Boxing,0,0,0,2,2
1928,Boxing Men's Middleweight,ARG,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,BEL,Boxing,0,0,1,0,1
1928,Boxing Men's Middleweight,CAN,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,DEN,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,ESP,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,FRA,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,GBR,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,GER,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,GRE,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,IRL,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,ITA,Boxing,1,0,0,0,1
1928,Boxing Men's Middleweight,LUX,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,POL,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,RSA,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,SWE,Boxing,0,0,0,1,1
1928,Boxing Men's Middleweight,TCH,Boxing,0,1,0,0,1
1928,Boxing Men's Middleweight,USA,Boxing,0,0,0,1,1
1932,Boxing Men's Middleweight,ARG,Boxing,0,1,0,0,1
1932,Boxing Men's Middleweight,CAN,Boxing,0,0,0,1,1
1932,Boxing Men's Middleweight,FRA,Boxing,0,0,0,1,1
1932,Boxing Men's Middleweight,GER,Boxing,0,0,0,1,1
1932,Boxing Men's Middleweight,HUN,Boxing,0,0,0,1,1
1932,Boxing Men's Middleweight,ITA,Boxing,0,0,0,1,1
1932,Boxing Men's Middleweight,MEX,Boxing,0,0,0,1,1
1932,Boxing Men's Middleweight,NZL,Boxing,0,0,0,1,1
1932,Boxing Men's Middleweight,RSA,Boxing,0,0,1,0,1
1932,Boxing Men's Middleweight,USA,Boxing,1,0,0,0,1
1936,Boxing Men's Middleweight,ARG,Boxing,0,0,1,0,1
1936,Boxing Men's Middleweight,AUT,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,BEL,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,CHN,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,DEN,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,FIN,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,FRA,Boxing,1,0,0,0,1
1936,Boxing Men's Middleweight,GBR,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,GER,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,HUN,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,ITA,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,NED,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,NOR,Boxing,0,1,0,0,1
1936,Boxing Men's Middleweight,POL,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,RSA,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,SUI,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,TCH,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,URU,Boxing,0,0,0,1,1
1936,Boxing Men's Middleweight,USA,Boxing,0,0,0,1,1
1948,Boxing Men's Middleweight,ARG,Boxing,0,0,0,1,1
1948,Boxing Men's Middleweight,AUS,Boxing,0,0,0,1,1
1948,Boxing Men's Middleweight,BEL,Boxing,0,0,0,1,1
1948,Boxing Men's Middleweight,CAN,Boxing,0,0,0,1,1
1948,Boxing Men's Middleweight,DEN,Boxing,0,0,0,1,1
1948,Boxing Men's Middleweight,EGY,Boxing,0,0,0,1,1
1948,Boxing Men's Middleweight,ESP,Boxing,0,0,0,1,1
1948,Boxing Men's Middleweight,FIN,Boxing,0,0,0,1,1
