Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2012,Boxing Women's Flyweight,BRA,Boxing,0,0,0,1,1
2012,Boxing Women's Flyweight,BUL,Boxing,0,0,0,1,1
2012,Boxing Women's Flyweight,CHN,Boxing,0,1,0,0,1
2012,Boxing Women's Flyweight,GBR,Boxing,1,0,0,0,1
2012,Boxing Women's Flyweight,IND,Boxing,0,0,1,0,1
2012,Boxing Women's Flyweight,NZL,Boxing,0,0,0,1,1
2012,Boxing Women's Flyweight,POL,Boxing,0,0,0,1,1
2012,Boxing Women's Flyweight,PRK,Boxing,0,0,0,1,1
2012,Boxing Women's Flyweight,RUS,Boxing,0,0,0,1,1
2012,Boxing Women's Flyweight,TUN,Boxing,0,0,0,1,1
2012,Boxing Women's Flyweight,USA,Boxing,0,0,1,0,1
2012,Boxing Women's Flyweight,VEN,Boxing,0,0,0,1,1
2016,Boxing Women's Flyweight,BUL,Boxing,0,0,0,1,1
2016,Boxing Women's Flyweight,CAF,Boxing,0,0,0,1,1
2016,Boxing Women's Flyweight,CAN,Boxing,0,0,0,1,1
2016,Boxing Women's Flyweight,CHN,Boxing,0,0,1,0,1
2016,Boxing Women's Flyweight,COL,Boxing,0,0,1,0,1
2016,Boxing Women's Flyweight,FRA,Boxing,0,1,0,0,1
2016,Boxing Women's Flyweight,GBR,Boxing,1,0,0,0,1
2016,Boxing Women's Flyweight,KAZ,Boxing,0,0,0,1,1
2016,Boxing Women's Flyweight,MAR,Boxing,0,0,0,1,1
2016,Boxing Women's Flyweight,THA,Boxing,0,0,0,1,1
2016,Boxing Women's Flyweight,UKR,Boxing,0,0,0,1,1
2016,Boxing Women's Flyweight,UZB,Boxing,0,0,0,1,1
