Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men's +92kg,ALG,Boxing,0,0,0,1,1
2024,Men's +92kg,ARM,Boxing,0,0,0,1,1
2024,Men's +92kg,AUS,Boxing,0,0,0,1,1
2024,Men's +92kg,AZE,Boxing,0,0,0,1,1
2024,Men's +92kg,BRA,Boxing,0,0,0,1,1
2024,Men's +92kg,ECU,Boxing,0,0,0,1,1
2024,Men's +92kg,ESP,Boxing,0,1,0,0,1
2024,Men's +92kg,FRA,Boxing,0,0,1,0,1
2024,Men's +92kg,GBR,Boxing,0,0,0,1,1
2024,Men's +92kg,GER,Boxing,0,0,1,0,1
2024,Men's +92kg,ITA,Boxing,0,0,0,1,1
2024,Men's +92kg,KAZ,Boxing,0,0,0,1,1
2024,Men's +92kg,NOR,Boxing,0,0,0,1,1
2024,Men's +92kg,UKR,Boxing,0,0,0,1,1
2024,Men's +92kg,USA,Boxing,0,0,0,1,1
2024,Men's +92kg,UZB,Boxing,1,0,0,0,1
