Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men's 63.5kg,ALG,Boxing,0,0,0,1,1
2024,Men's 63.5kg,AUS,Boxing,0,0,0,1,1
2024,Men's 63.5kg,AZE,Boxing,0,0,0,1,1
2024,Men's 63.5kg,BUL,Boxing,0,0,0,1,1
2024,Men's 63.5kg,CAN,Boxing,0,0,1,0,1
2024,Men's 63.5kg,CUB,Boxing,1,0,0,0,1
2024,Men's 63.5kg,ESP,Boxing,0,0,0,1,1
2024,Men's 63.5kg,FRA,Boxing,0,1,0,0,1
2024,Men's 63.5kg,GEO,Boxing,0,0,1,0,1
2024,Men's 63.5kg,HUN,Boxing,0,0,0,1,1
2024,Men's 63.5kg,IRL,Boxing,0,0,0,1,1
2024,Men's 63.5kg,JOR,Boxing,0,0,0,1,1
2024,Men's 63.5kg,KAZ,Boxing,0,0,0,1,1
2024,Men's 63.5kg,MEX,Boxing,0,0,0,1,1
2024,Men's 63.5kg,PNG,Boxing,0,0,0,1,1
2024,Men's 63.5kg,THA,Boxing,0,0,0,1,1
2024,Men's 63.5kg,TJK,Boxing,0,0,0,1,1
2024,Men's 63.5kg,TPE,Boxing,0,0,0,1,1
2024,Men's 63.5kg,UZB,Boxing,0,0,0,1,1
2024,Men's 63.5kg,VEN,Boxing,0,0,0,1,1
