Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men's 92kg,AZE,Boxing,0,1,0,0,1
2024,Men's 92kg,BEL,Boxing,0,0,0,1,1
2024,Men's 92kg,BRA,Boxing,0,0,0,1,1
2024,Men's 92kg,CHN,Boxing,0,0,0,1,1
2024,Men's 92kg,CUB,Boxing,0,0,0,1,1
2024,Men's 92kg,ESP,Boxing,0,0,1,0,1
2024,Men's 92kg,GBR,Boxing,0,0,0,1,1
2024,Men's 92kg,GEO,Boxing,0,0,0,1,1
2024,Men's 92kg,IRL,Boxing,0,0,0,1,1
2024,Men's 92kg,ITA,Boxing,0,0,0,1,1
2024,Men's 92kg,KAZ,Boxing,0,0,0,1,1
2024,Men's 92kg,NGR,Boxing,0,0,0,1,1
2024,Men's 92kg,POL,Boxing,0,0,0,1,1
2024,Men's 92kg,SAM,Boxing,0,0,0,1,1
2024,Men's 92kg,TJK,Boxing,0,0,1,0,1
2024,Men's 92kg,UZB,Boxing,1,0,0,0,1
