Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Fly (48-52kg),ALG,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),ARG,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),ARM,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),AUS,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),BOT,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),BUL,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),CHN,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),COL,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),CPV,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),CUB,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),DOM,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),ESP,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),FRA,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),GBR,Boxing,1,0,0,0,1
2020,Men's Fly (48-52kg),GEO,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),GHA,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),IND,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),IRL,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),JPN,Boxing,0,0,1,0,1
2020,Men's Fly (48-52kg),KAZ,Boxing,0,0,1,0,1
2020,Men's Fly (48-52kg),PHI,Boxing,0,1,0,0,1
2020,Men's Fly (48-52kg),PUR,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),ROU,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),TUR,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),UZB,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),VEN,Boxing,0,0,0,1,1
2020,Men's Fly (48-52kg),ZAM,Boxing,0,0,0,1,1
