Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Heavy (81-91kg),ALG,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),BLR,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),BRA,Boxing,0,0,1,0,1
2020,Men's Heavy (81-91kg),CUB,Boxing,1,0,0,0,1
2020,Men's Heavy (81-91kg),ECU,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),ESP,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),GBR,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),GER,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),JOR,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),KAZ,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),KEN,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),MAR,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),NZL,Boxing,0,0,1,0,1
2020,Men's Heavy (81-91kg),PER,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),ROC,Boxing,0,1,0,0,1
2020,Men's Heavy (81-91kg),SAM,Boxing,0,0,0,1,1
2020,Men's Heavy (81-91kg),UZB,Boxing,0,0,0,1,1
