Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Light (57-63kg),ANT,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),ARM,Boxing,0,0,1,0,1
2020,Men's Light (57-63kg),AUS,Boxing,0,0,1,0,1
2020,Men's Light (57-63kg),AZE,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),BLR,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),BRA,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),COD,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),CUB,Boxing,1,0,0,0,1
2020,Men's Light (57-63kg),DOM,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),EOR,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),FRA,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),GBR,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),IND,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),JOR,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),JPN,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),KAZ,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),MAR,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),MGL,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),MRI,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),NAM,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),NED,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),PER,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),PNG,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),POL,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),ROC,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),TJK,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),UKR,Boxing,0,0,0,1,1
2020,Men's Light (57-63kg),USA,Boxing,0,1,0,0,1
2020,Men's Light (57-63kg),UZB,Boxing,0,0,0,1,1
