Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Super Heavy (+91kg),ALG,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),AZE,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),BRN,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),CMR,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),COL,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),CUB,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),EGY,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),FRA,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),GBR,Boxing,0,0,1,0,1
2020,Men's Super Heavy (+91kg),IND,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),JAM,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),KAZ,Boxing,0,0,1,0,1
2020,Men's Super Heavy (+91kg),ROC,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),TJK,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),UKR,Boxing,0,0,0,1,1
2020,Men's Super Heavy (+91kg),USA,Boxing,0,1,0,0,1
2020,Men's Super Heavy (+91kg),UZB,Boxing,1,0,0,0,1
