Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Women's 54kg,AUS,Boxing,0,0,0,1,1
2024,Women's 54kg,BRA,Boxing,0,0,0,1,1
2024,Women's 54kg,BUL,Boxing,0,0,0,1,1
2024,Women's 54kg,CHN,Boxing,1,0,0,0,1
2024,Women's 54kg,COL,Boxing,0,0,0,1,1
2024,Women's 54kg,EGY,Boxing,0,0,0,1,1
2024,Women's 54kg,GBR,Boxing,0,0,0,1,1
2024,Women's 54kg,IND,Boxing,0,0,0,1,1
2024,Women's 54kg,IRL,Boxing,0,0,0,1,1
2024,Women's 54kg,ITA,Boxing,0,0,0,1,1
2024,Women's 54kg,KOR,Boxing,0,0,1,0,1
2024,Women's 54kg,MAR,Boxing,0,0,0,1,1
2024,Women's 54kg,MGL,Boxing,0,0,0,1,1
2024,Women's 54kg,MNE,Boxing,0,0,0,1,1
2024,Women's 54kg,PRK,Boxing,0,0,1,0,1
2024,Women's 54kg,ROU,Boxing,0,0,0,1,1
2024,Women's 54kg,SRB,Boxing,0,0,0,1,1
2024,Women's 54kg,THA,Boxing,0,0,0,1,1
2024,Women's 54kg,TPE,Boxing,0,0,0,1,1
2024,Women's 54kg,TUR,Boxing,0,1,0,0,1
2024,Women's 54kg,UZB,Boxing,0,0,0,1,1
2024,Women's 54kg,VIE,Boxing,0,0,0,1,1
