Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Fly (48-51kg),ALG,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),BDI,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),BRA,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),BUL,Boxing,1,0,0,0,1
2020,Women's Fly (48-51kg),CAN,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),CHN,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),COL,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),DOM,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),GBR,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),IND,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),ITA,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),JPN,Boxing,0,0,1,0,1
2020,Women's Fly (48-51kg),KEN,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),MAR,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),PHI,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),POL,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),ROC,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),SRB,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),THA,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),TPE,Boxing,0,0,1,0,1
2020,Women's Fly (48-51kg),TUR,Boxing,0,1,0,0,1
2020,Women's Fly (48-51kg),UGA,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),USA,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),UZB,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),VEN,Boxing,0,0,0,1,1
2020,Women's Fly (48-51kg),VIE,Boxing,0,0,0,1,1
