Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Canoe,AND,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,AUS,Canoe Slalom,1,0,0,0,1
2020,Women's Canoe,AUT,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,BRA,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,CAN,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,CHN,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,COK,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,CZE,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,ESP,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,FRA,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,GBR,Canoe Slalom,0,1,0,0,1
2020,Women's Canoe,GER,Canoe Slalom,0,0,1,0,1
2020,Women's Canoe,ITA,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,JPN,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,NZL,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,POL,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,ROC,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,SLO,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,SUI,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,SVK,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,UKR,Canoe Slalom,0,0,0,1,1
2020,Women's Canoe,USA,Canoe Slalom,0,0,0,1,1
