Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Canoe Single 1000m,BRA,Canoe Sprint,1,0,0,1,2
2020,Men's Canoe Single 1000m,CAN,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,CHN,Canoe Sprint,0,1,0,1,2
2020,Men's Canoe Single 1000m,CUB,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,CZE,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,ESP,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,FRA,Canoe Sprint,0,0,0,1,1
2020,Men's Canoe Single 1000m,GER,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,HUN,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,JPN,Canoe Sprint,0,0,0,1,1
2020,Men's Canoe Single 1000m,KAZ,Canoe Sprint,0,0,0,1,1
2020,Men's Canoe Single 1000m,MDA,Canoe Sprint,0,0,1,0,1
2020,Men's Canoe Single 1000m,MOZ,Canoe Sprint,0,0,0,1,1
2020,Men's Canoe Single 1000m,POL,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,ROC,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,ROU,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,SAM,Canoe Sprint,0,0,0,1,1
2020,Men's Canoe Single 1000m,STP,Canoe Sprint,0,0,0,2,2
2020,Men's Canoe Single 1000m,TUN,Canoe Sprint,0,0,0,1,1
2020,Men's Canoe Single 1000m,UKR,Canoe Sprint,0,0,0,2,2
2024,Men's Canoe Single 1000m,AIN,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,ANG,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,BRA,Canoe Sprint,0,1,0,1,2
2024,Men's Canoe Single 1000m,CAN,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,CHN,Canoe Sprint,0,0,0,2,2
2024,Men's Canoe Single 1000m,CUB,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,CZE,Canoe Sprint,1,0,0,0,1
2024,Men's Canoe Single 1000m,EOR,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,ESP,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,FRA,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,GER,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,HUN,Canoe Sprint,0,0,0,2,2
2024,Men's Canoe Single 1000m,IRI,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,ITA,Canoe Sprint,0,0,0,2,2
2024,Men's Canoe Single 1000m,KAZ,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,MDA,Canoe Sprint,0,0,1,0,1
2024,Men's Canoe Single 1000m,POL,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,ROU,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,TPE,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,TUN,Canoe Sprint,0,0,0,1,1
2024,Men's Canoe Single 1000m,UKR,Canoe Sprint,0,0,0,1,1
