Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Kayak Single 1000m,ARG,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,AUS,Canoe Sprint,0,0,0,2,2
2020,Men's Kayak Single 1000m,BEL,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,BIZ,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,BLR,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,BRA,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,CAN,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,CHN,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,COK,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,CZE,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,EOR,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,FRA,Canoe Sprint,0,0,0,2,2
2020,Men's Kayak Single 1000m,GER,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,HUN,Canoe Sprint,1,1,0,0,2
2020,Men's Kayak Single 1000m,IRI,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,ITA,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,NOR,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,POR,Canoe Sprint,0,0,1,0,1
2020,Men's Kayak Single 1000m,ROC,Canoe Sprint,0,0,0,2,2
2020,Men's Kayak Single 1000m,SAM,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,SRB,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,SVK,Canoe Sprint,0,0,0,1,1
2020,Men's Kayak Single 1000m,TUN,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,AIN,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,ARG,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,AUS,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,BEL,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,BRA,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,CHN,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,CZE,Canoe Sprint,1,0,0,0,1
2024,Men's Kayak Single 1000m,DEN,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,EOR,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,ESP,Canoe Sprint,0,0,0,2,2
2024,Men's Kayak Single 1000m,FRA,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,GER,Canoe Sprint,0,0,0,2,2
2024,Men's Kayak Single 1000m,HUN,Canoe Sprint,0,1,1,0,2
2024,Men's Kayak Single 1000m,IRI,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,KAZ,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,LTU,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,MAR,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,POR,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,RSA,Canoe Sprint,0,0,0,2,2
2024,Men's Kayak Single 1000m,SAM,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,SWE,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,URU,Canoe Sprint,0,0,0,1,1
2024,Men's Kayak Single 1000m,USA,Canoe Sprint,0,0,0,2,2
2024,Men's Kayak Single 1000m,UZB,Canoe Sprint,0,0,0,1,1
