Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Canoe Single 200m,AUS,Canoe Sprint,0,0,0,2,2
2020,Women's Canoe Single 200m,BLR,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,BUL,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,CAN,Canoe Sprint,0,1,0,1,2
2020,Women's Canoe Single 200m,CHI,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,CHN,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,CRO,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,CUB,Canoe Sprint,0,0,0,2,2
2020,Women's Canoe Single 200m,ESP,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,GBR,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,GER,Canoe Sprint,0,0,0,2,2
2020,Women's Canoe Single 200m,HUN,Canoe Sprint,0,0,0,2,2
2020,Women's Canoe Single 200m,JPN,Canoe Sprint,0,0,0,2,2
2020,Women's Canoe Single 200m,KAZ,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,MDA,Canoe Sprint,0,0,0,2,2
2020,Women's Canoe Single 200m,NGR,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,POL,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,ROC,Canoe Sprint,0,0,0,2,2
2020,Women's Canoe Single 200m,THA,Canoe Sprint,0,0,0,1,1
2020,Women's Canoe Single 200m,UKR,Canoe Sprint,0,0,1,1,2
2020,Women's Canoe Single 200m,USA,Canoe Sprint,1,0,0,0,1
2020,Women's Canoe Single 200m,UZB,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,AIN,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,BRA,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,CAN,Canoe Sprint,1,0,0,1,2
2024,Women's Canoe Single 200m,CHI,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,CHN,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,COL,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,CUB,Canoe Sprint,0,0,1,1,2
2024,Women's Canoe Single 200m,ESP,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,FRA,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,GER,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,GUM,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,HUN,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,KAZ,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,MDA,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,NGR,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,POL,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,SEN,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,STP,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,UKR,Canoe Sprint,0,0,0,2,2
2024,Women's Canoe Single 200m,USA,Canoe Sprint,0,1,0,0,1
2024,Women's Canoe Single 200m,UZB,Canoe Sprint,0,0,0,1,1
2024,Women's Canoe Single 200m,VIE,Canoe Sprint,0,0,0,1,1
