Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Kayak Single 500m,ALG,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,ARG,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,AUS,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,AUT,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,BEL,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,BLR,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,CAN,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,CHN,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,CRO,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,DEN,Canoe Sprint,0,0,1,0,1
2020,Women's Kayak Single 500m,EGY,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,ESP,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,FRA,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,GBR,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,GER,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,HUN,Canoe Sprint,0,1,0,1,2
2020,Women's Kayak Single 500m,ITA,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,KAZ,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,NZL,Canoe Sprint,1,0,0,1,2
2020,Women's Kayak Single 500m,POL,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,POR,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,ROC,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,SAM,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,SLO,Canoe Sprint,0,0,0,2,2
2020,Women's Kayak Single 500m,SRB,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,SWE,Canoe Sprint,0,0,0,1,1
2020,Women's Kayak Single 500m,UKR,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,ARG,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,AUS,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,BEL,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,BRA,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,BUL,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,CAN,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,CHN,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,CRO,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,CZE,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,DEN,Canoe Sprint,0,0,1,0,1
2024,Women's Kayak Single 500m,EGY,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,EOR,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,ESP,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,FRA,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,GER,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,GUM,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,HUN,Canoe Sprint,0,1,0,1,2
2024,Women's Kayak Single 500m,MEX,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,NED,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,NOR,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,NZL,Canoe Sprint,1,0,0,1,2
2024,Women's Kayak Single 500m,POL,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,POR,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,RSA,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,SAM,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,SGP,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,SRB,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,SWE,Canoe Sprint,0,0,0,2,2
2024,Women's Kayak Single 500m,UKR,Canoe Sprint,0,0,0,1,1
2024,Women's Kayak Single 500m,UZB,Canoe Sprint,0,0,0,1,1
