Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1972,"Canoeing Men's Canadian Doubles, Slalom",AUT,Canoeing,0,0,0,2,2
1972,"Canoeing Men's Canadian Doubles, Slalom",FRA,Canoeing,0,0,2,0,2
1972,"Canoeing Men's Canadian Doubles, Slalom",FRG,Canoeing,0,2,0,4,6
1972,"Canoeing Men's Canadian Doubles, Slalom",GBR,Canoeing,0,0,0,4,4
1972,"Canoeing Men's Canadian Doubles, Slalom",GDR,Canoeing,2,0,0,4,6
1972,"Canoeing Men's Canadian Doubles, Slalom",POL,Canoeing,0,0,0,6,6
1972,"Canoeing Men's Canadian Doubles, Slalom",TCH,Canoeing,0,0,0,6,6
1972,"Canoeing Men's Canadian Doubles, Slalom",USA,Canoeing,0,0,0,4,4
1972,"Canoeing Men's Canadian Doubles, Slalom",YUG,Canoeing,0,0,0,4,4
1992,"Canoeing Men's Canadian Doubles, Slalom",AUS,Canoeing,0,0,0,2,2
1992,"Canoeing Men's Canadian Doubles, Slalom",FRA,Canoeing,0,0,2,4,6
1992,"Canoeing Men's Canadian Doubles, Slalom",GBR,Canoeing,0,0,0,4,4
1992,"Canoeing Men's Canadian Doubles, Slalom",GER,Canoeing,0,0,0,6,6
1992,"Canoeing Men's Canadian Doubles, Slalom",POL,Canoeing,0,0,0,2,2
1992,"Canoeing Men's Canadian Doubles, Slalom",SUI,Canoeing,0,0,0,2,2
1992,"Canoeing Men's Canadian Doubles, Slalom",TCH,Canoeing,0,2,0,4,6
1992,"Canoeing Men's Canadian Doubles, Slalom",USA,Canoeing,2,0,0,4,6
1996,"Canoeing Men's Canadian Doubles, Slalom",AUS,Canoeing,0,0,0,2,2
1996,"Canoeing Men's Canadian Doubles, Slalom",CAN,Canoeing,0,0,0,2,2
1996,"Canoeing Men's Canadian Doubles, Slalom",CZE,Canoeing,0,2,0,2,4
1996,"Canoeing Men's Canadian Doubles, Slalom",FRA,Canoeing,2,0,0,2,4
1996,"Canoeing Men's Canadian Doubles, Slalom",GBR,Canoeing,0,0,0,2,2
1996,"Canoeing Men's Canadian Doubles, Slalom",GER,Canoeing,0,0,2,2,4
1996,"Canoeing Men's Canadian Doubles, Slalom",POL,Canoeing,0,0,0,4,4
1996,"Canoeing Men's Canadian Doubles, Slalom",SUI,Canoeing,0,0,0,2,2
1996,"Canoeing Men's Canadian Doubles, Slalom",SVK,Canoeing,0,0,0,4,4
1996,"Canoeing Men's Canadian Doubles, Slalom",USA,Canoeing,0,0,0,2,2
2000,"Canoeing Men's Canadian Doubles, Slalom",AUS,Canoeing,0,0,0,2,2
2000,"Canoeing Men's Canadian Doubles, Slalom",CAN,Canoeing,0,0,0,2,2
2000,"Canoeing Men's Canadian Doubles, Slalom",CZE,Canoeing,0,0,2,2,4
2000,"Canoeing Men's Canadian Doubles, Slalom",ESP,Canoeing,0,0,0,2,2
2000,"Canoeing Men's Canadian Doubles, Slalom",FRA,Canoeing,0,0,0,2,2
2000,"Canoeing Men's Canadian Doubles, Slalom",GBR,Canoeing,0,0,0,2,2
2000,"Canoeing Men's Canadian Doubles, Slalom",GER,Canoeing,0,0,0,2,2
2000,"Canoeing Men's Canadian Doubles, Slalom",POL,Canoeing,0,2,0,2,4
