Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",AUT,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",BEL,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",CAN,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",GBR,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",GER,Canoeing,0,2,0,0,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",HUN,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",LUX,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",NED,Canoeing,0,0,2,0,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",SUI,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",SWE,Canoeing,2,0,0,0,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",TCH,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",USA,Canoeing,0,0,0,2,2
1936,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",YUG,Canoeing,0,0,0,2,2
