Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1960,Canoeing Men's Kayak Relay 4 x 500 metres,AUS,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,AUT,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,BEL,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,DEN,Canoeing,0,0,4,0,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,FIN,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,FRA,Canoeing,0,0,0,5,5
1960,Canoeing Men's Kayak Relay 4 x 500 metres,GBR,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,GER,Canoeing,4,0,0,0,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,HUN,Canoeing,0,4,0,0,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,ITA,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,NED,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,POL,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,ROU,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,SUI,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,SWE,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,TCH,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,URS,Canoeing,0,0,0,4,4
1960,Canoeing Men's Kayak Relay 4 x 500 metres,USA,Canoeing,0,0,0,4,4
