Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Cross-country,ARG,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,AUS,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,AUT,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,BEL,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,BRA,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,CAN,Cycling Mountain Bike,0,0,0,2,2
2020,Women's Cross-country,CHN,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,CZE,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,DEN,Cycling Mountain Bike,0,0,0,2,2
2020,Women's Cross-country,ESP,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,EST,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,FRA,Cycling Mountain Bike,0,0,0,2,2
2020,Women's Cross-country,GBR,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,GER,Cycling Mountain Bike,0,0,0,2,2
2020,Women's Cross-country,HUN,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,ITA,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,JPN,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,MEX,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,NAM,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,NED,Cycling Mountain Bike,0,0,0,2,2
2020,Women's Cross-country,POL,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,POR,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,ROC,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,RSA,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,SLO,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,SUI,Cycling Mountain Bike,1,1,1,0,3
2020,Women's Cross-country,SWE,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,UKR,Cycling Mountain Bike,0,0,0,1,1
2020,Women's Cross-country,USA,Cycling Mountain Bike,0,0,0,3,3
2024,Women's Cross-country,AUS,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,AUT,Cycling Mountain Bike,0,0,0,2,2
2024,Women's Cross-country,BEL,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,BRA,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,CAN,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,CHN,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,CZE,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,DEN,Cycling Mountain Bike,0,0,0,2,2
2024,Women's Cross-country,EST,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,FRA,Cycling Mountain Bike,1,0,0,1,2
2024,Women's Cross-country,GBR,Cycling Mountain Bike,0,0,0,2,2
2024,Women's Cross-country,GER,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,ITA,Cycling Mountain Bike,0,0,0,2,2
2024,Women's Cross-country,JPN,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,MEX,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,NED,Cycling Mountain Bike,0,0,0,2,2
2024,Women's Cross-country,NZL,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,POL,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,POR,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,RSA,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,SLO,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,SUI,Cycling Mountain Bike,0,0,0,2,2
2024,Women's Cross-country,SWE,Cycling Mountain Bike,0,0,1,0,1
2024,Women's Cross-country,UKR,Cycling Mountain Bike,0,0,0,1,1
2024,Women's Cross-country,USA,Cycling Mountain Bike,0,1,0,1,2
