Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Road Race,ALG,Cycling Road,0,0,0,2,2
2020,Men's Road Race,ARG,Cycling Road,0,0,0,1,1
2020,Men's Road Race,AUS,Cycling Road,0,0,0,3,3
2020,Men's Road Race,AUT,Cycling Road,0,0,0,3,3
2020,Men's Road Race,AZE,Cycling Road,0,0,0,1,1
2020,Men's Road Race,BEL,Cycling Road,0,1,0,4,5
2020,Men's Road Race,BLR,Cycling Road,0,0,0,1,1
2020,Men's Road Race,BUR,Cycling Road,0,0,0,1,1
2020,Men's Road Race,CAN,Cycling Road,0,0,0,3,3
2020,Men's Road Race,CHN,Cycling Road,0,0,0,1,1
2020,Men's Road Race,COL,Cycling Road,0,0,0,4,4
2020,Men's Road Race,CRC,Cycling Road,0,0,0,1,1
2020,Men's Road Race,CRO,Cycling Road,0,0,0,1,1
2020,Men's Road Race,CZE,Cycling Road,0,0,0,3,3
2020,Men's Road Race,DEN,Cycling Road,0,0,0,4,4
2020,Men's Road Race,ECU,Cycling Road,1,0,0,1,2
2020,Men's Road Race,ERI,Cycling Road,0,0,0,2,2
2020,Men's Road Race,ESP,Cycling Road,0,0,0,5,5
2020,Men's Road Race,EST,Cycling Road,0,0,0,2,2
2020,Men's Road Race,FRA,Cycling Road,0,0,0,5,5
2020,Men's Road Race,GBR,Cycling Road,0,0,0,4,4
2020,Men's Road Race,GER,Cycling Road,0,0,0,4,4
2020,Men's Road Race,GRE,Cycling Road,0,0,0,1,1
2020,Men's Road Race,GUA,Cycling Road,0,0,0,1,1
2020,Men's Road Race,HKG,Cycling Road,0,0,0,1,1
2020,Men's Road Race,HUN,Cycling Road,0,0,0,1,1
2020,Men's Road Race,IRI,Cycling Road,0,0,0,1,1
2020,Men's Road Race,IRL,Cycling Road,0,0,0,3,3
2020,Men's Road Race,ITA,Cycling Road,0,0,0,5,5
2020,Men's Road Race,JPN,Cycling Road,0,0,0,2,2
2020,Men's Road Race,KAZ,Cycling Road,0,0,0,3,3
2020,Men's Road Race,LAT,Cycling Road,0,0,0,2,2
2020,Men's Road Race,LTU,Cycling Road,0,0,0,1,1
2020,Men's Road Race,LUX,Cycling Road,0,0,0,2,2
2020,Men's Road Race,MAR,Cycling Road,0,0,0,1,1
2020,Men's Road Race,MEX,Cycling Road,0,0,0,1,1
2020,Men's Road Race,NAM,Cycling Road,0,0,0,1,1
2020,Men's Road Race,NED,Cycling Road,0,0,0,5,5
2020,Men's Road Race,NOR,Cycling Road,0,0,0,4,4
2020,Men's Road Race,NZL,Cycling Road,0,0,0,2,2
2020,Men's Road Race,PAN,Cycling Road,0,0,0,1,1
2020,Men's Road Race,PER,Cycling Road,0,0,0,1,1
2020,Men's Road Race,POL,Cycling Road,0,0,0,3,3
