Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men's Madison,AUS,Cycling Track,0,0,0,3,3
2024,Men's Madison,AUT,Cycling Track,0,0,0,2,2
2024,Men's Madison,BEL,Cycling Track,0,0,0,3,3
2024,Men's Madison,CAN,Cycling Track,0,0,0,3,3
2024,Men's Madison,CZE,Cycling Track,0,0,0,2,2
2024,Men's Madison,DEN,Cycling Track,0,0,1,2,3
2024,Men's Madison,ESP,Cycling Track,0,0,0,2,2
2024,Men's Madison,FRA,Cycling Track,0,0,0,4,4
2024,Men's Madison,GBR,Cycling Track,0,0,0,2,2
2024,Men's Madison,GER,Cycling Track,0,0,0,4,4
2024,Men's Madison,ITA,Cycling Track,0,1,0,0,1
2024,Men's Madison,JPN,Cycling Track,0,0,0,3,3
2024,Men's Madison,NED,Cycling Track,0,0,0,3,3
2024,Men's Madison,NZL,Cycling Track,0,0,0,2,2
2024,Men's Madison,POR,Cycling Track,2,0,0,1,3
