Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Madison,AUS,Cycling Track,0,0,0,1,1
2020,Women's Madison,BEL,Cycling Track,0,0,0,1,1
2020,Women's Madison,FRA,Cycling Track,0,0,0,1,1
2020,Women's Madison,GBR,Cycling Track,0,0,0,1,1
2020,Women's Madison,GER,Cycling Track,0,0,0,1,1
2020,Women's Madison,HKG,Cycling Track,0,0,0,1,1
2020,Women's Madison,IRL,Cycling Track,0,0,0,1,1
2020,Women's Madison,ITA,Cycling Track,0,0,0,2,2
2020,Women's Madison,JPN,Cycling Track,0,0,0,1,1
2020,Women's Madison,NZL,Cycling Track,0,0,0,1,1
2020,Women's Madison,POL,Cycling Track,0,0,0,1,1
2020,Women's Madison,ROC,Cycling Track,0,0,0,1,1
2020,Women's Madison,USA,Cycling Track,0,0,0,2,2
2024,Women's Madison,AUS,Cycling Track,0,0,0,3,3
2024,Women's Madison,BEL,Cycling Track,0,0,0,3,3
2024,Women's Madison,CAN,Cycling Track,0,0,0,3,3
2024,Women's Madison,DEN,Cycling Track,0,0,0,3,3
2024,Women's Madison,FRA,Cycling Track,0,0,0,3,3
2024,Women's Madison,GBR,Cycling Track,0,2,0,1,3
2024,Women's Madison,GER,Cycling Track,0,0,0,3,3
2024,Women's Madison,IRL,Cycling Track,0,0,0,4,4
2024,Women's Madison,ITA,Cycling Track,2,0,0,0,2
2024,Women's Madison,JPN,Cycling Track,0,0,0,3,3
2024,Women's Madison,NED,Cycling Track,0,0,2,1,3
2024,Women's Madison,NZL,Cycling Track,0,0,0,2,2
2024,Women's Madison,POL,Cycling Track,0,0,0,3,3
2024,Women's Madison,SUI,Cycling Track,0,0,0,3,3
2024,Women's Madison,USA,Cycling Track,0,0,0,2,2
