Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Omnium,AUS,Cycling Track,0,0,0,2,2
2020,Women's Omnium,BEL,Cycling Track,0,0,0,1,1
2020,Women's Omnium,BLR,Cycling Track,0,0,0,1,1
2020,Women's Omnium,CAN,Cycling Track,0,0,0,1,1
2020,Women's Omnium,CHN,Cycling Track,0,0,0,1,1
2020,Women's Omnium,DEN,Cycling Track,0,0,0,2,2
2020,Women's Omnium,EGY,Cycling Track,0,0,0,1,1
2020,Women's Omnium,FRA,Cycling Track,0,0,0,2,2
2020,Women's Omnium,GBR,Cycling Track,0,0,0,2,2
2020,Women's Omnium,HKG,Cycling Track,0,0,0,1,1
2020,Women's Omnium,IRL,Cycling Track,0,0,0,2,2
2020,Women's Omnium,ITA,Cycling Track,0,0,0,1,1
2020,Women's Omnium,JPN,Cycling Track,0,1,0,1,2
2020,Women's Omnium,LTU,Cycling Track,0,0,0,1,1
2020,Women's Omnium,NED,Cycling Track,0,0,1,1,2
2020,Women's Omnium,NOR,Cycling Track,0,0,0,1,1
2020,Women's Omnium,NZL,Cycling Track,0,0,0,2,2
2020,Women's Omnium,POL,Cycling Track,0,0,0,2,2
2020,Women's Omnium,POR,Cycling Track,0,0,0,1,1
2020,Women's Omnium,ROC,Cycling Track,0,0,0,2,2
2020,Women's Omnium,USA,Cycling Track,1,0,0,1,2
2024,Women's Omnium,AUS,Cycling Track,0,0,0,2,2
2024,Women's Omnium,BEL,Cycling Track,0,0,0,1,1
2024,Women's Omnium,CAN,Cycling Track,0,0,0,2,2
2024,Women's Omnium,CHN,Cycling Track,0,0,0,1,1
2024,Women's Omnium,DEN,Cycling Track,0,0,0,2,2
2024,Women's Omnium,EGY,Cycling Track,0,0,0,1,1
2024,Women's Omnium,FRA,Cycling Track,0,0,0,2,2
2024,Women's Omnium,GBR,Cycling Track,0,0,0,2,2
2024,Women's Omnium,GER,Cycling Track,0,0,0,2,2
2024,Women's Omnium,IRL,Cycling Track,0,0,0,2,2
2024,Women's Omnium,ITA,Cycling Track,0,0,0,1,1
2024,Women's Omnium,JPN,Cycling Track,0,0,0,2,2
2024,Women's Omnium,LTU,Cycling Track,0,0,0,1,1
2024,Women's Omnium,MEX,Cycling Track,0,0,0,1,1
2024,Women's Omnium,NED,Cycling Track,0,0,0,1,1
2024,Women's Omnium,NOR,Cycling Track,0,0,0,1,1
2024,Women's Omnium,NZL,Cycling Track,0,0,1,0,1
2024,Women's Omnium,POL,Cycling Track,0,1,0,1,2
2024,Women's Omnium,POR,Cycling Track,0,0,0,1,1
2024,Women's Omnium,SUI,Cycling Track,0,0,0,1,1
2024,Women's Omnium,USA,Cycling Track,1,0,0,1,2
