Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1928,"Cycling Men's 1,000 metres Time Trial",ARG,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",AUS,Cycling,0,0,1,0,1
1928,"Cycling Men's 1,000 metres Time Trial",AUT,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",BEL,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",CAN,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",CHI,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",DEN,Cycling,1,0,0,0,1
1928,"Cycling Men's 1,000 metres Time Trial",FRA,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",GBR,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",GER,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",IRL,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",ITA,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",NED,Cycling,0,1,0,0,1
1928,"Cycling Men's 1,000 metres Time Trial",POL,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",SUI,Cycling,0,0,0,1,1
1928,"Cycling Men's 1,000 metres Time Trial",TUR,Cycling,0,0,0,1,1
1932,"Cycling Men's 1,000 metres Time Trial",AUS,Cycling,1,0,0,0,1
1932,"Cycling Men's 1,000 metres Time Trial",CAN,Cycling,0,0,0,1,1
1932,"Cycling Men's 1,000 metres Time Trial",DEN,Cycling,0,0,0,1,1
1932,"Cycling Men's 1,000 metres Time Trial",FRA,Cycling,0,0,1,0,1
1932,"Cycling Men's 1,000 metres Time Trial",GBR,Cycling,0,0,0,1,1
1932,"Cycling Men's 1,000 metres Time Trial",ITA,Cycling,0,0,0,1,1
1932,"Cycling Men's 1,000 metres Time Trial",MEX,Cycling,0,0,0,1,1
1932,"Cycling Men's 1,000 metres Time Trial",NED,Cycling,0,1,0,0,1
1932,"Cycling Men's 1,000 metres Time Trial",USA,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",AUS,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",AUT,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",BEL,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",BUL,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",CAN,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",DEN,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",FIN,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",FRA,Cycling,0,1,0,0,1
1936,"Cycling Men's 1,000 metres Time Trial",GBR,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",GER,Cycling,0,0,1,0,1
1936,"Cycling Men's 1,000 metres Time Trial",HUN,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",ITA,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",NED,Cycling,1,0,0,0,1
1936,"Cycling Men's 1,000 metres Time Trial",NOR,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",NZL,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",RSA,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",SUI,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",SWE,Cycling,0,0,0,1,1
1936,"Cycling Men's 1,000 metres Time Trial",USA,Cycling,0,0,0,1,1
1948,"Cycling Men's 1,000 metres Time Trial",ARG,Cycling,0,0,0,1,1
