Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1906,Cycling Men's 20 kilometres,AUT,Cycling,0,0,0,1,1
1906,Cycling Men's 20 kilometres,BEL,Cycling,0,0,0,2,2
1906,Cycling Men's 20 kilometres,DEN,Cycling,0,0,0,1,1
1906,Cycling Men's 20 kilometres,EGY,Cycling,0,0,0,1,1
1906,Cycling Men's 20 kilometres,FRA,Cycling,0,1,1,2,4
1906,Cycling Men's 20 kilometres,GBR,Cycling,1,0,0,4,5
1906,Cycling Men's 20 kilometres,GER,Cycling,0,0,0,4,4
1906,Cycling Men's 20 kilometres,GRE,Cycling,0,0,0,4,4
1906,Cycling Men's 20 kilometres,SUI,Cycling,0,0,0,2,2
1908,Cycling Men's 20 kilometres,BEL,Cycling,0,0,1,2,3
1908,Cycling Men's 20 kilometres,CAN,Cycling,0,0,0,4,4
1908,Cycling Men's 20 kilometres,FRA,Cycling,0,0,0,9,9
1908,Cycling Men's 20 kilometres,GBR,Cycling,1,1,0,8,10
1908,Cycling Men's 20 kilometres,GER,Cycling,0,0,0,5,5
1908,Cycling Men's 20 kilometres,GRE,Cycling,0,0,0,1,1
1908,Cycling Men's 20 kilometres,ITA,Cycling,0,0,0,1,1
1908,Cycling Men's 20 kilometres,NED,Cycling,0,0,0,4,4
1908,Cycling Men's 20 kilometres,RSA,Cycling,0,0,0,3,3
1908,Cycling Men's 20 kilometres,SWE,Cycling,0,0,0,2,2
1908,Cycling Men's 20 kilometres,USA,Cycling,0,0,0,2,2
