Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1996,Cycling Men's Individual Time Trial,AUS,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,BEL,Cycling,0,0,0,1,1
1996,Cycling Men's Individual Time Trial,BRA,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,CAN,Cycling,0,0,0,1,1
1996,Cycling Men's Individual Time Trial,COL,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,DEN,Cycling,0,0,0,1,1
1996,Cycling Men's Individual Time Trial,ESP,Cycling,1,1,0,0,2
1996,Cycling Men's Individual Time Trial,FRA,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,GBR,Cycling,0,0,1,0,1
1996,Cycling Men's Individual Time Trial,GER,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,GUA,Cycling,0,0,0,1,1
1996,Cycling Men's Individual Time Trial,ITA,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,LTU,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,MDA,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,MEX,Cycling,0,0,0,1,1
1996,Cycling Men's Individual Time Trial,NED,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,POL,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,RUS,Cycling,0,0,0,1,1
1996,Cycling Men's Individual Time Trial,SLO,Cycling,0,0,0,1,1
1996,Cycling Men's Individual Time Trial,SUI,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,SVK,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,SWE,Cycling,0,0,0,2,2
1996,Cycling Men's Individual Time Trial,USA,Cycling,0,0,0,2,2
2000,Cycling Men's Individual Time Trial,AUS,Cycling,0,0,0,1,1
2000,Cycling Men's Individual Time Trial,AUT,Cycling,0,0,0,1,1
2000,Cycling Men's Individual Time Trial,CAN,Cycling,0,0,0,1,1
2000,Cycling Men's Individual Time Trial,COL,Cycling,0,0,0,1,1
2000,Cycling Men's Individual Time Trial,CZE,Cycling,0,0,0,1,1
2000,Cycling Men's Individual Time Trial,DEN,Cycling,0,0,0,1,1
