Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1906,"Cycling Men's Tandem Sprint, 2,000 metres",AUT,Cycling,0,0,0,2,2
1906,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,2,0,0,0,2
1906,"Cycling Men's Tandem Sprint, 2,000 metres",GER,Cycling,0,2,2,0,4
1906,"Cycling Men's Tandem Sprint, 2,000 metres",GRE,Cycling,0,0,0,4,4
1908,"Cycling Men's Tandem Sprint, 2,000 metres",BEL,Cycling,0,0,0,2,2
1908,"Cycling Men's Tandem Sprint, 2,000 metres",CAN,Cycling,0,0,0,2,2
1908,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,2,0,0,8,10
1908,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,2,2,8,12
1908,"Cycling Men's Tandem Sprint, 2,000 metres",GER,Cycling,0,0,0,4,4
1908,"Cycling Men's Tandem Sprint, 2,000 metres",RSA,Cycling,0,0,0,2,2
1908,"Cycling Men's Tandem Sprint, 2,000 metres",SWE,Cycling,0,0,0,2,2
1920,"Cycling Men's Tandem Sprint, 2,000 metres",BEL,Cycling,0,0,0,4,4
1920,"Cycling Men's Tandem Sprint, 2,000 metres",DEN,Cycling,0,0,0,2,2
1920,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,0,0,0,2,2
1920,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,2,0,0,4,6
1920,"Cycling Men's Tandem Sprint, 2,000 metres",NED,Cycling,0,0,2,2,4
1920,"Cycling Men's Tandem Sprint, 2,000 metres",RSA,Cycling,0,2,0,2,4
1924,"Cycling Men's Tandem Sprint, 2,000 metres",DEN,Cycling,0,2,0,0,2
1924,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,2,0,0,0,2
1924,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,0,0,2,2
1924,"Cycling Men's Tandem Sprint, 2,000 metres",HUN,Cycling,0,0,0,2,2
1924,"Cycling Men's Tandem Sprint, 2,000 metres",NED,Cycling,0,0,2,0,2
1928,"Cycling Men's Tandem Sprint, 2,000 metres",AUT,Cycling,0,0,0,2,2
1928,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,0,0,0,2,2
1928,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,2,0,0,2
1928,"Cycling Men's Tandem Sprint, 2,000 metres",GER,Cycling,0,0,2,0,2
1928,"Cycling Men's Tandem Sprint, 2,000 metres",ITA,Cycling,0,0,0,2,2
1928,"Cycling Men's Tandem Sprint, 2,000 metres",NED,Cycling,2,0,0,0,2
1928,"Cycling Men's Tandem Sprint, 2,000 metres",POL,Cycling,0,0,0,2,2
1932,"Cycling Men's Tandem Sprint, 2,000 metres",DEN,Cycling,0,0,2,0,2
1932,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,2,0,0,0,2
1932,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,2,0,0,2
1932,"Cycling Men's Tandem Sprint, 2,000 metres",NED,Cycling,0,0,0,2,2
1932,"Cycling Men's Tandem Sprint, 2,000 metres",USA,Cycling,0,0,0,2,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",AUT,Cycling,0,0,0,2,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",BEL,Cycling,0,0,0,2,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",DEN,Cycling,0,0,0,2,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,0,0,2,0,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,0,0,2,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",GER,Cycling,2,0,0,0,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",HUN,Cycling,0,0,0,2,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",ITA,Cycling,0,0,0,2,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",NED,Cycling,0,2,0,0,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",SUI,Cycling,0,0,0,2,2
1936,"Cycling Men's Tandem Sprint, 2,000 metres",USA,Cycling,0,0,0,2,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",ARG,Cycling,0,0,0,2,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",AUT,Cycling,0,0,0,2,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",BEL,Cycling,0,0,0,2,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",DEN,Cycling,0,0,0,2,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,0,0,2,0,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,2,0,0,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",ITA,Cycling,2,0,0,0,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",NED,Cycling,0,0,0,2,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",SUI,Cycling,0,0,0,2,2
1948,"Cycling Men's Tandem Sprint, 2,000 metres",USA,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",AUS,Cycling,2,0,0,0,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",AUT,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",BEL,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",DEN,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",FIN,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",HUN,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",ITA,Cycling,0,0,2,0,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",JPN,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",NZL,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",RSA,Cycling,0,2,0,0,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",SUI,Cycling,0,0,0,2,2
1952,"Cycling Men's Tandem Sprint, 2,000 metres",USA,Cycling,0,0,0,2,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",AUS,Cycling,2,0,0,0,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,0,0,0,2,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,0,0,2,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",GER,Cycling,0,0,0,2,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",ITA,Cycling,0,0,2,0,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",NZL,Cycling,0,0,0,2,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",RSA,Cycling,0,0,0,2,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",TCH,Cycling,0,2,0,0,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",URS,Cycling,0,0,0,2,2
1956,"Cycling Men's Tandem Sprint, 2,000 metres",USA,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",AUS,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",GBR,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",GER,Cycling,0,2,0,0,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",ITA,Cycling,2,0,0,0,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",MEX,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",NED,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",RSA,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",SUI,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",TCH,Cycling,0,0,0,2,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",URS,Cycling,0,0,2,0,2
1960,"Cycling Men's Tandem Sprint, 2,000 metres",USA,Cycling,0,0,0,2,2
1964,"Cycling Men's Tandem Sprint, 2,000 metres",AUS,Cycling,0,0,0,2,2
1964,"Cycling Men's Tandem Sprint, 2,000 metres",DEN,Cycling,0,0,0,2,2
1964,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,Cycling,0,0,0,2,2
