Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2012,Cycling Women's Omnium,AUS,Cycling,0,0,1,0,1
2012,Cycling Women's Omnium,BEL,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,BLR,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,CAN,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,CHN,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,COL,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,CUB,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,ESP,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,FRA,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,GBR,Cycling,1,0,0,0,1
2012,Cycling Women's Omnium,KOR,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,NED,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,NZL,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,POL,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,RUS,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,TPE,Cycling,0,0,0,1,1
2012,Cycling Women's Omnium,USA,Cycling,0,1,0,0,1
2012,Cycling Women's Omnium,VEN,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,AUS,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,BEL,Cycling,0,0,1,0,1
2016,Cycling Women's Omnium,BLR,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,CAN,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,CHN,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,CUB,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,DEN,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,FRA,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,GBR,Cycling,1,0,0,0,1
2016,Cycling Women's Omnium,GER,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,HKG,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,JPN,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,NED,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,NZL,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,POL,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,TPE,Cycling,0,0,0,1,1
2016,Cycling Women's Omnium,USA,Cycling,0,1,0,0,1
2016,Cycling Women's Omnium,VEN,Cycling,0,0,0,1,1
